key,node,second,interval_seconds,write_MB,write_ops,disk_inflight_max,bw_in_allowance_exceeded,bw_out_allowance_exceeded,pps_allowance_exceeded,conntrack_allowance_exceeded,linklocal_allowance_exceeded,ena_srd_mode,ena_srd_tx_pkts,ena_srd_eligible_tx_pkts,ena_srd_rx_pkts,ena_srd_resource_utilization
01-original-60s-r0,use1-az1,45,1.000954202,520.8473600000001,31790.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,46,1.0009269580000002,560.840704,34231.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,47,1.001030706,413.35193599999997,25229.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,48,1.000955063,413.253632,25223.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,49,1.000947319,413.319168,25227.0,1,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,50,1.000944667,413.30278400000003,25226.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,51,1.000997178,413.319168,25227.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,52,1.000889478,413.2863999999999,25225.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,53,1.000931096,413.20447999999993,25220.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,54,1.0009477469999999,413.302784,25226.0,1,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,55,1.000954175,413.36832,25230.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,56,1.0009061830000001,413.23724799999997,25222.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,57,1.000853871,413.270016,25224.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,58,1.0008944419999999,413.237248,25222.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,59,1.000918806,413.319168,25227.0,3,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,60,1.000926213,413.253632,25223.0,1,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az1,61,0.20017037799999998,82.673664,5045.0,2,0,0,0,0,0,0,0,0,0,0
01-original-60s-r0,use1-az2,-63,0.100066506,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
