profile,pad,width,payload,head,carrier,count,arm,median_ns_per_value,min_ns_per_value,max_ns_per_value,control,control_ns_per_value,ratio
avx2,32,21,5,16,32,8192,region32_avx2,0.12711576349999998,0.126851529,0.127843052,tile8_avx2,0.1857941075,0.684175430590553
avx2,32,23,7,16,32,8192,tile8_avx2,0.183693897,0.183103926,0.184380732,tile8_avx2,0.183693897,1.0
avx2,32,23,7,16,32,8192,region32_avx2,0.127309777,0.127027437,0.127783149,tile8_avx2,0.183693897,0.6930539287323194
avx2,32,18,2,16,64,8192,tile8_avx2,0.250402473,0.250135854,0.251642138,tile8_avx2,0.250402473,1.0
avx2,32,18,2,16,64,8192,region32_avx2,0.135837853,0.135554582,0.136689164,tile8_avx2,0.250402473,0.5424780808774201
avx2,32,10,2,8,16,65536,tile8_avx2,0.112467179,0.112359051,0.112685908,tile8_avx2,0.112467179,1.0
avx2,32,10,2,8,16,65536,region32_avx2,0.059651306,0.059465095,0.059772506,tile8_avx2,0.112467179,0.5303885678505371
avx2,32,9,1,8,16,65536,tile8_avx2,0.056396514999999994,0.056347443,0.056576401,tile8_avx2,0.056396514999999994,1.0
avx2,32,9,1,8,16,65536,region32_avx2,0.026137823999999997,0.026076237,0.026394749,tile8_avx2,0.056396514999999994,0.46346523362303504
avx2,32,13,5,8,16,65536,tile8_avx2,0.17638756700000002,0.17589426,0.17694167,tile8_avx2,0.17638756700000002,1.0
avx2,32,13,5,8,16,65536,region32_avx2,0.0769625905,0.07681413,0.077158131,tile8_avx2,0.17638756700000002,0.436326617623792
avx2,32,15,7,8,16,65536,tile8_avx2,0.1880710575,0.187555656,0.188833885,tile8_avx2,0.1880710575,1.0
avx2,32,15,7,8,16,65536,region32_avx2,0.0769159865,0.0768613,0.077282332,tile8_avx2,0.1880710575,0.4089730101081609
avx2,32,10,2,8,32,65536,tile8_avx2,0.103393698,0.103184856,0.104293954,tile8_avx2,0.103393698,1.0
avx2,32,10,2,8,32,65536,region32_avx2,0.0746104865,0.074474011,0.075102396,tile8_avx2,0.103393698,0.7216154170247397
avx2,32,10,2,8,64,65536,tile8_avx2,0.2062345595,0.205907106,0.207118049,tile8_avx2,0.2062345595,1.0
avx2,32,10,2,8,64,65536,region32_avx2,0.10329635449999999,0.103146598,0.10402815,tile8_avx2,0.2062345595,0.5008683062161557
avx2,32,17,1,16,32,65536,tile8_avx2,0.0604420195,0.060292002,0.060658123,tile8_avx2,0.0604420195,1.0
avx2,32,17,1,16,32,65536,region32_avx2,0.070966161,0.070873095,0.071136119,tile8_avx2,0.0604420195,1.1741196205398134
avx2,32,18,2,16,32,65536,tile8_avx2,0.1246998475,0.124471433,0.124971293,tile8_avx2,0.1246998475,1.0
avx2,32,18,2,16,32,65536,region32_avx2,0.104291253,0.103910062,0.104471132,tile8_avx2,0.1246998475,0.8363382561474263
avx2,32,21,5,16,32,65536,tile8_avx2,0.181329116,0.180956438,0.181791641,tile8_avx2,0.181329116,1.0
avx2,32,21,5,16,32,65536,region32_avx2,0.12684929350000002,0.126541287,0.127761394,tile8_avx2,0.181329116,0.6995528147834792
avx2,32,23,7,16,32,65536,tile8_avx2,0.1813366715,0.181189418,0.1816696,tile8_avx2,0.1813366715,1.0
avx2,32,23,7,16,32,65536,region32_avx2,0.12672691400000002,0.126627341,0.126805857,tile8_avx2,0.1813366715,0.6988487929756669
avx2,32,18,2,16,64,65536,tile8_avx2,0.250401504,0.249997497,0.250860728,tile8_avx2,0.250401504,1.0
avx2,32,18,2,16,64,65536,region32_avx2,0.135609046,0.135382697,0.136297181,tile8_avx2,0.250401504,0.5415664196649554
avx2,48,10,2,8,16,256,tile8_avx2,0.1024842005,0.102313507,0.102754138,tile8_avx2,0.1024842005,1.0
avx2,48,10,2,8,16,256,region32_avx2,0.0587923605,0.058543976,0.058960576,tile8_avx2,0.1024842005,0.5736724315861741
avx2,48,9,1,8,16,256,tile8_avx2,0.0843637995,0.084090736,0.084644169,tile8_avx2,0.0843637995,1.0
avx2,48,9,1,8,16,256,region32_avx2,0.026196787,0.026013799,0.026344348,tile8_avx2,0.0843637995,0.31052165923370956
avx2,48,13,5,8,16,256,tile8_avx2,0.182541136,0.178655311,0.185098745,tile8_avx2,0.182541136,1.0
avx2,48,13,5,8,16,256,region32_avx2,0.076799795,0.076602243,0.076910622,tile8_avx2,0.182541136,0.4207259617360988
avx2,48,15,7,8,16,256,tile8_avx2,0.185572084,0.185114391,0.187077709,tile8_avx2,0.185572084,1.0
avx2,48,15,7,8,16,256,region32_avx2,0.077248171,0.076817788,0.077764012,tile8_avx2,0.185572084,0.4162704289078308
avx2,48,10,2,8,32,256,tile8_avx2,0.1131461525,0.113020889,0.114379507,tile8_avx2,0.1131461525,1.0
avx2,48,10,2,8,32,256,region32_avx2,0.07481832050000001,0.074735973,0.075536504,tile8_avx2,0.1131461525,0.6612537752885588
avx2,48,10,2,8,64,256,tile8_avx2,0.20541022,0.205086417,0.205779918,tile8_avx2,0.20541022,1.0
avx2,48,10,2,8,64,256,region32_avx2,0.10363405149999999,0.103363261,0.103899039,tile8_avx2,0.20541022,0.5045223723532354
avx2,48,17,1,16,32,256,tile8_avx2,0.0599177665,0.059795082,0.060065651,tile8_avx2,0.0599177665,1.0
