machine,input_bits,values,arm,repetitions,median_ns_per_value,ratio_to_current32,samples,entry_mod64,input_page_offset,output_page_offset
gnr,8,8192,projected64_grain_control,20,0.051252751,0.8516352271725947,"[0.051255221,0.051212873,0.051316561,0.05123397,0.051250281,0.051231729,0.051294984,0.051276354,0.051283291,0.051907742,0.051232863,0.051337639,0.051213507,0.051212715,0.051216191,0.051307697,0.051223967,0.051380474,0.051333368,0.05124197]",48,3264,3328
gnr,8,8192,direct_predecessor,20,0.051661392,0.8584253616351728,"[0.051662408,0.051679334,0.05165286,0.051700046,0.051689388,0.051754281,0.051656876,0.051625131,0.051687192,0.051636735,0.051660376,0.051665887,0.051664647,0.051617453,0.051652784,0.051657017,0.051616179,0.051722389,0.051688487,0.051618332]",48,3264,3328
gnr,16,8192,current32,20,0.07450541999999999,1.0,"[0.074499398,0.074525654,0.074521553,0.074488115,0.074518632,0.074517976,0.075875655,0.074478518,0.074475311,0.074524511,0.074481301,0.074482359,0.074515272,0.074511442,0.07448478,0.074485458,0.074520174,0.07452739,0.074472379,0.074465305]",32,3264,3328
gnr,16,8192,projected32,20,0.06668800899999999,0.8950759421260897,"[0.066663966,0.06668447,0.066741232,0.066668391,0.066671759,0.066694308,0.066703599,0.066815563,0.06669895,0.066691548,0.066629726,0.066843286,0.06671929,0.066706389,0.066641133,0.066661675,0.066674042,0.066683903,0.066656109,0.066769816]",0,3264,3328
gnr,16,8192,current64_grain_control,20,0.073561031,0.9873245597434389,"[0.073564596,0.073565498,0.073517933,0.073557466,0.07361437,0.073525697,0.073521066,0.073570944,0.073568918,0.073692199,0.073530007,0.073621456,0.073536534,0.073551878,0.073538255,0.073574129,0.073551867,0.073553741,0.073627729,0.073573403]",0,3264,3328
gnr,16,8192,projected64_grain_control,20,0.0662879685,0.8897066616093167,"[0.066241249,0.066338643,0.066290163,0.066328917,0.066246185,0.066239979,0.066345826,0.066260919,0.066262778,0.066362601,0.066280443,0.066288233,0.066243369,0.066339143,0.066287704,0.066382505,0.066255905,0.066236455,0.066321395,0.066319641]",0,3264,3328
gnr,32,8192,current32,20,0.10229516599999999,1.0,"[0.102295697,0.102318652,0.102320913,0.102347177,0.102291033,0.102294635,0.102265958,0.102473415,0.10228195,0.102395907,0.102412179,0.102232441,0.102240145,0.102321662,0.102296229,0.10236657,0.10229034,0.102276493,0.102271978,0.102279697]",48,3264,3328
gnr,32,8192,projected32,20,0.0946174635,0.9249455981136001,"[0.094593279,0.094743386,0.094717566,0.094613414,0.094543099,0.094515149,0.094616033,0.09457596,0.094631977,0.094610911,0.094705518,0.094622679,0.094797775,0.094618894,0.094532538,0.094700266,0.094529942,0.09457678,0.094867889,0.094692763]",16,3264,3328
gnr,32,8192,current64_grain_control,20,0.10113092700000001,0.9886188268172909,"[0.101277824,0.101226199,0.101170417,0.101113815,0.101104699,0.101098597,0.101117246,0.101185985,0.101143513,0.101262923,0.101140663,0.101101864,0.101312146,0.101068635,0.101100344,0.101189118,0.101064354,0.101121191,0.101270486,0.101099003]",0,3264,3328
gnr,32,8192,projected64_grain_control,20,0.0948606095,0.9273225041738532,"[0.094959505,0.094899785,0.094784848,0.094936192,0.094872698,0.094797749,0.094819941,0.094766464,0.096163917,0.094816893,0.094898447,0.094838262,0.094944574,0.094848521,0.094835214,0.094830748,0.094952345,0.094930604,0.094785854,0.094897281]",16,3264,3328
gnr,64,8192,current32,20,0.13725851500000003,1.0,"[0.137201346,0.137227282,0.137298092,0.137234174,0.137260389,0.137478024,0.137512587,0.137256641,0.13757205,0.137200065,0.13727947,0.137432206,0.137228109,0.137248911,0.137264196,0.137347445,0.137199018,0.137264285,0.137143251,0.137180094]",32,3264,3328
gnr,64,8192,projected32,20,0.128287848,0.9346440036889514,"[0.128325876,0.12854293,0.128287904,0.128245417,0.128129985,0.128335599,0.128498614,0.128234401,0.128315911,0.128305878,0.128236029,0.128204323,0.128443249,0.128308155,0.128264748,0.128257997,0.128191225,0.128355991,0.128177363,0.128287792]",48,3264,3328
gnr,64,8192,current64_grain_control,20,0.13334569699999999,0.9714930764040391,"[0.133357622,0.133021172,0.133433335,0.132947553,0.13329922,0.133560076,0.133172642,0.133333772,0.133262902,0.13409875,0.133404694,0.133261833,0.133452345,0.133135732,0.133821577,0.133471448,0.133001924,0.133464824,0.132985037,0.134349458]",0,3264,3328
