input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration
avx512,point/4/write/ordinary,1,3,"[30353.861070911797,30347.175108538253,30362.85528219943]",30353.861070911797,"[30371.54341532891,30350.480463109103,30388.649059319418]",30371.54341532891,"[3.7053053065077877,3.7044891489914855,3.7064032326903606]",3.7053053065077877,8192.0
avx512,scan/packet4/16/1024,1,3,"[494.4162144306561,495.7894389127425,499.7768628191206]",495.7894389127425,"[494.4192463780547,495.839554528027,500.0999952811152]",495.839554528027,"[0.4828283344049376,0.4841693739382251,0.4880633425967975]",0.4841693739382251,1024.0
avx512,scan/packet4/16/1048576,1,3,"[521953.6999999996,519379.57500000077,520283.95000000007]",520283.95000000007,"[522258.52499994123,520230.26250012097,520731.38750010624]",520731.38750010624,"[0.49777383804321257,0.4953189611434944,0.49618144035339357]",0.49618144035339357,1048576.0
avx512,scan/packet4/16/65536,1,3,"[32199.868580060134,32099.48413897289,32132.119335346997]",32132.119335346997,"[32622.63746223031,32153.222809663825,32145.85876132258]",32153.222809663825,"[0.491331002503359,0.4897992574916517,0.49029723106913753]",0.49029723106913753,65536.0
avx512,scan/packet4/64/1024,1,3,"[536.9904037568281,535.3517686692953,535.8950028074167]",535.8950028074167,"[537.0424429581951,535.4086442754547,535.9730616101302]",535.9730616101302,"[0.5244046911687774,0.5228044615911087,0.5233349636791179]",0.5233349636791179,1024.0
avx512,scan/packet4/64/1048576,1,3,"[1409216.9999999944,1427081.6071428247,1539755.9642856985]",1427081.6071428247,"[1410115.6428572333,1429151.1071421935,1540538.9642850764]",1429151.1071421935,"[1.343934059143061,1.360971076147866,1.46842571667261]",1.360971076147866,1048576.0
avx512,scan/packet4/64/65536,1,3,"[40721.95136186817,40604.69455252862,40050.550583657]",40604.69455252862,"[40741.17023346826,40654.972762628015,40070.571984433795]",40654.972762628015,"[0.621367666044131,0.619578469124277,0.6111229031930083]",0.619578469124277,65536.0
avx512,wide/64/read/body,1,3,"[1830.33562987834,1829.5223477085417,1830.4424192212134]",1830.33562987834,"[1830.5700954958015,1830.6363319234051,1830.523394236237]",1830.5700954958015,"[1.787437138553066,1.7866429176841228,1.7875414250207162]",1.787437138553066,1024.0
avx512,wide/64/read/control,1,3,"[1916.2461074836763,1917.0958403725867,1915.9474909821465]",1916.2461074836763,"[1918.0591297210924,1918.6239897730009,1916.0893566499576]",1918.0591297210924,"[1.8713340893395276,1.8721639066138542,1.8710424716622527]",1.8713340893395276,1024.0
avx512,wide/64/read/ordinary,1,3,"[1829.799869309518,1828.966064038334,1830.5678937050786]",1829.799869309518,"[1829.931300370736,1829.057460248424,1830.646612937939]",1829.931300370736,"[1.786913934872576,1.7860996719124353,1.7876639586963659]",1.786913934872576,1024.0
avx512,wide/64/write/body,1,3,"[3061.943961423239,3064.155475999132,3063.601665814276]",3063.601665814276,"[3062.1292467302537,3065.4995981576653,3063.6197121341115]",3063.6197121341115,"[2.990179649827382,2.9923393320304026,2.9917985017717545]",2.9917985017717545,1024.0
avx512,wide/64/write/control,1,3,"[3069.927254098375,3008.95901639345,3009.1544203747294]",3009.1544203747294,"[3070.1202429757586,3008.9767271661235,3011.382318499854]",3011.382318499854,"[2.997975834080445,2.9384365394467284,2.9386273636471967]",2.9386273636471967,1024.0
avx512,wide/64/write/ordinary,1,3,"[3744.678542798601,3748.9494967488918,3749.62821768947]",3748.9494967488918,"[3745.348980135712,3749.1336955553516,3752.3528101880383]",3749.1336955553516,"[3.656912639451759,3.6610834929188387,3.6617463063373727]",3.6610834929188387,1024.0
