input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values,counter:encoded_bytes
gnr,composition/avx512/local/k25/h0/u32/prefilter75/grouped16-authored,1,3,"[1706.734155145922,1705.3054416422774,1706.8021879526757]",1706.734155145922,"[1706.9961201341293,1705.989858304937,1706.9792009375021]",1706.9792009375021,"[0.20834157167308617,0.20816716816922332,0.20834987645906686]",0.20834157167308617,8192.0,6144.0,4392.0,25600.0
gnr,composition/avx512/local/k25/h0/u32/prefilter75/grouped16-authored-u64-carrier,1,3,"[1282.0673779903439,1279.2549538614433,1277.4094796505703]",1279.2549538614433,"[1282.1820720807777,1279.6329533287667,1277.9447066048042]",1279.6329533287667,"[0.1565023654773369,0.15615905198503946,0.15593377437140749]",0.15615905198503946,8192.0,6144.0,4392.0,25600.0
gnr,composition/avx512/local/k25/h0/u32/prefilter75/materialized,1,3,"[2112.8361432289107,2113.2539348628366,2112.625113505737]",2112.8361432289107,"[2113.7125734120414,2113.5128942466813,2112.824247847754]",2113.5128942466813,"[0.2579145682652479,0.2579655682205611,0.25788880780099327]",0.2579145682652479,8192.0,6144.0,4392.0,25600.0
gnr,composition/avx512/local/k26/h0/u32/all/authored,1,3,"[2856.4003033532654,2848.4521193736678,2849.378371730692]",2849.378371730692,"[2856.653562352237,2848.9867590277613,2849.839161256619]",2849.839161256619,"[0.3486816776554279,0.3477114403532309,0.3478245082679067]",0.3478245082679067,8192.0,8192.0,5837.0,26624.0
gnr,composition/avx512/local/k26/h0/u32/all/authored-u64-carrier,1,3,"[2004.148112613138,2011.9273255812857,2010.94110150074]",2010.94110150074,"[2004.510024060271,2012.826798596494,2011.7866164530983]",2011.7866164530983,"[0.24464698640297097,0.2455965973609968,0.24547620867928954]",0.24547620867928954,8192.0,8192.0,5837.0,26624.0
gnr,composition/avx512/local/k26/h0/u32/all/grouped16-authored,1,3,"[1851.5373522269922,1847.4217463585499,1844.8265120330757]",1847.4217463585499,"[1851.80459679944,1847.6588162318642,1845.2047445650874]",1847.6588162318642,"[0.2260177431917715,0.22551534989728395,0.2251985488321626]",0.22551534989728395,8192.0,8192.0,5837.0,26624.0
gnr,composition/avx512/local/k26/h0/u32/all/grouped16-authored-u64-carrier,1,3,"[1399.7480074495918,1399.5078300222847,1399.1434536204004]",1399.5078300222847,"[1399.8914310284188,1399.8425684911338,1399.3195890759393]",1399.8425684911338,"[0.170867676690624,0.17083835815701715,0.17079387861577153]",0.17083835815701715,8192.0,8192.0,5837.0,26624.0
gnr,composition/avx512/local/k26/h0/u32/all/materialized,1,3,"[2142.4115160551714,2139.1022334259824,2145.9855203898915]",2142.4115160551714,"[2142.7745054291827,2139.291682668786,2146.4814239822003]",2142.7745054291827,"[0.2615248432684535,0.2611208781037576,0.2619611230944692]",0.2615248432684535,8192.0,8192.0,5837.0,26624.0
gnr,composition/avx512/local/k26/h0/u32/prefilter75/authored,1,3,"[2854.9118730809946,2854.047819856547,2860.0817195498244]",2854.9118730809946,"[2855.342272251882,2854.6693142403824,2861.2542067437685]",2855.342272251882,"[0.34849998450695735,0.3483945092598324,0.3491310692809844]",0.34849998450695735,8192.0,6144.0,4401.0,26624.0
gnr,composition/avx512/local/k26/h0/u32/prefilter75/authored-u64-carrier,1,3,"[2012.5018936393833,2013.3857264231774,2013.432628198778]",2013.3857264231774,"[2012.7900436284021,2013.6795645335887,2014.6875710944582]",2013.6795645335887,"[0.24566673506340128,0.24577462480751677,0.24578035012192115]",0.24577462480751677,8192.0,6144.0,4401.0,26624.0
gnr,composition/avx512/local/k26/h0/u32/prefilter75/grouped16-authored,1,3,"[1879.0025512603004,1878.793844748978,1878.9689417639888]",1878.9689417639888,"[1879.5812307822946,1878.9538624776508,1879.3562096441722]",1879.3562096441722,"[0.22937042862064214,0.22934495175158423,0.22936632589892442]",0.22936632589892442,8192.0,6144.0,4401.0,26624.0
gnr,composition/avx512/local/k26/h0/u32/prefilter75/grouped16-authored-u64-carrier,1,3,"[1425.2532668430395,1425.258711581469,1425.153500916077]",1425.2532668430395,"[1425.5663138607345,1425.39638713247,1425.4317626721524]",1425.4317626721524,"[0.17398111167517571,0.1739817763160973,0.17396893321729456]",0.17398111167517571,8192.0,6144.0,4401.0,26624.0
gnr,composition/avx512/local/k26/h0/u32/prefilter75/materialized,1,3,"[2232.1908484270302,2229.591563393828,2227.489752144969]",2229.591563393828,"[2232.720511598835,2230.570734030291,2227.7099936446316]",2230.570734030291,"[0.27248423442712777,0.27216693889084814,0.27191037013488395]",0.27216693889084814,8192.0,6144.0,4401.0,26624.0
gnr,composition/avx512/local/k27/h0/u32/all/authored,1,3,"[2864.366151192199,2861.272770213561,2859.6140102273016]",2861.272770213561,"[2865.5285564598707,2861.660854752876,2859.9805105536207]",2861.660854752876,"[0.349654071190454,0.3492764612077101,0.3490739758578249]",0.3492764612077101,8192.0,8192.0,5927.0,27648.0
gnr,composition/avx512/local/k27/h0/u32/all/authored-u64-carrier,1,3,"[2142.7667675008593,2142.5936382803425,2123.1986738778987]",2142.5936382803425,"[2143.680126499516,2142.90452837364,2123.7539646286173]",2142.90452837364,"[0.2615682089234448,0.26154707498539337,0.25917952561986074]",0.26154707498539337,8192.0,8192.0,5927.0,27648.0
