scope,case,before_ns_per_value,after_ns_per_value,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
placement,head-placement/avx2/local/k23/h16/n257/headgap13-0/encode-bound,0.17319506825030276,0.18482686034101836,1.0671600652849147,0.16863109341436572,0.1764294252080403,0.18099477852885398,0.18901980886745395,False,True,True,"[0.16998769608469533, 0.1885328001233915, 0.18126271690407808, 0.1763685132724416]"
placement,head-placement/avx2/local/k23/h16/n257/headgap13-17/encode-bound,0.17901560582355733,0.17655762498138108,0.9862694605262577,0.17879780567063502,0.17965129115676493,0.17254888434608026,0.1805493044044624,False,False,False,"[0.17946641811894598, 0.18045337207321013, 0.1725802142833497, 0.17889756987388714]"
placement,head-placement/avx2/local/k23/h16/n8193/headgap0-0/encode-bound,0.150823007903369,0.10281928710967822,0.6817214995178564,0.15040741348238265,0.15103636488016572,0.1025200931720796,0.10314936866139625,True,False,True,"[0.15097149913386101, 0.10252033464379023, 0.10313295822058283, 0.15065497972587905]"
placement,head-placement/avx2/local/k23/h16/n8193/headgap0-17/encode-bound,0.1480348246427151,0.16567937768089613,1.119191906909516,0.14785876503059908,0.14870696788407264,0.16560695686161223,0.1658883384403579,False,True,True,"[0.14800519204678747, 0.1656547622216593, 0.16570399314013293, 0.1484505933373794]"
placement,head-placement/avx2/local/k23/h16/n8193/headgap13-0/encode-bound,0.14580371806914708,0.1657009898185608,1.1364661478658418,0.14512127734680855,0.14629226409577148,0.16555969927196093,0.16592616754945055,False,True,True,"[0.1462580689604973, 0.16556088232336286, 0.1657933140914923, 0.14530053049378228]"
placement,head-placement/avx2/local/k23/h16/n8193/headgap13-17/encode-bound,0.1551510399704138,0.16557434602281434,1.06718167054754,0.15509415882410363,0.15539350170482388,0.1653727419245279,0.16592484116435305,False,True,True,"[0.15512684920034858, 0.1657067581950448, 0.16555092690161158, 0.155175230740479]"
placement,head-placement/avx2/local/k56/h16/n257/headgap0-0/encode-bound,0.2509629217912459,0.19472557347053424,0.7759137169773207,0.25053161396537615,0.2531312360091914,0.19152257550684737,0.19616422502446404,True,False,True,"[0.25100198881667096, 0.19464698883944645, 0.19607108487932184, 0.25060228576516785]"
placement,head-placement/avx2/local/k56/h16/n257/headgap0-17/encode-bound,0.25782342751454446,0.253426310723322,0.9829452395633271,0.2479316320448345,0.2585152714334696,0.2517185672343821,0.2542199461535184,False,False,True,"[0.2583135524674338, 0.2532555330588804, 0.25397198420372846, 0.2576120874029103]"
placement,head-placement/avx2/local/k56/h16/n257/headgap13-0/encode-bound,0.26174553420904845,0.25889936418753345,0.989126194530441,0.2593138615962746,0.2633964403328232,0.25448666293206695,0.2629888488954682,False,False,False,"[0.2594622497729473, 0.26268907161261373, 0.25452487092915854, 0.26201390599037855]"
placement,head-placement/avx2/local/k56/h16/n257/headgap13-17/encode-bound,0.2522222426683852,0.2583329480183347,1.0242274641811968,0.2518904920593051,0.25285182561256087,0.25440308404489304,0.26234193982611775,False,True,True,"[0.25212922083076184, 0.26228586342199167, 0.25478728850514054, 0.2526367944096014]"
placement,head-placement/avx2/local/k56/h16/n8193/headgap0-0/encode-bound,0.23103623488485558,0.19187461116229448,0.8304957499758487,0.2305879925654891,0.23159367149510038,0.1915766249867259,0.19215865028556356,True,False,True,"[0.23156333383150737, 0.1916222198745605, 0.19212812500813817, 0.23060333127107438]"
placement,head-placement/avx2/local/k56/h16/n8193/headgap0-17/encode-bound,0.24018413595704563,0.23003516837955956,0.9577450544889397,0.23973922713999615,0.24056623724624523,0.22968496801014898,0.23042077960049376,True,False,True,"[0.24046608011120907, 0.23026756669742926, 0.22978410347824713, 0.23982735730196872]"
placement,head-placement/avx2/local/k56/h16/n8193/headgap13-0/encode-bound,0.23798731795234518,0.2299266032043238,0.9661296458257684,0.23763802633111564,0.23834436216511598,0.22977980162764597,0.23036886393217226,True,False,True,"[0.23816790539715052, 0.22981120872279523, 0.2301382661883606, 0.23782591281962684]"
placement,head-placement/avx2/local/k56/h16/n8193/headgap13-17/encode-bound,0.25726539036927687,0.23074139561751267,0.8969002604132182,0.2569087872530746,0.25744402471284833,0.23037613669155285,0.23089439397998918,True,False,True,"[0.2573972879164486, 0.2304247411265391, 0.2308447930063965, 0.256945040125605]"
placement,head-placement/avx2/striped/k23/h16/n257/headgap0-0/encode-bound,0.22217902880717383,0.17396685178696952,0.7830030256273782,0.2217162201915864,0.2227163065806894,0.1685714062962331,0.18075676713280298,True,False,True,"[0.221751951454116, 0.18059238515190243, 0.16873277287289276, 0.22259436659046922]"
placement,head-placement/avx2/striped/k23/h16/n257/headgap0-17/encode-bound,0.19149356513277216,0.17499844902812883,0.9138607289847759,0.19059062238636146,0.22222570009709314,0.17135962127294121,0.17925778809770906,True,False,True,"[0.19203599583051126, 0.17173987505367694, 0.177966827750464, 0.19069162525779398]"
placement,head-placement/avx2/striped/k23/h16/n257/headgap13-0/encode-bound,0.1969175324279761,0.17692295971524236,0.8984622015815331,0.19222940720382156,0.22175859042189333,0.1750682768122022,0.178088031041444,True,False,True,"[0.19242067940784024, 0.17797448588488946, 0.17576919475053707, 0.19694663429828]"
placement,head-placement/avx2/striped/k23/h16/n257/headgap13-17/encode-bound,0.2112533845405648,0.1488368887203932,0.7045420315706875,0.21058759617662898,0.22167065426853633,0.14685279774101725,0.15044430919863025,True,False,True,"[0.21122525150376018, 0.14767979853070967, 0.15009219086248082, 0.21128151757736946]"
