dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
msmarco,dispersed32,intersection,local-frame,selected,5,4631.84,4618.31,4686.45,12881.91552734375,67.71161341063717
msmarco,dispersed32,intersection,local-inline,complete,5,4677.23,4639.25,4707.81,12953.47314453125,36.655694793846344
msmarco,dispersed32,intersection,local-point,complete,5,4760.0,4747.27,4783.06,13252.056640625,37.30436758908769
msmarco,dispersed32,intersection,mixed-frame,complete,5,4691.7,4677.82,4715.3,13057.775390625,36.76909693649637
msmarco,dispersed32,intersection,mixed-frame-point,complete,5,4681.36,4678.5,4719.35,13028.3525390625,36.688061818666284
msmarco,dispersed32,intersection,mixed-point-frame,complete,5,4742.56,4739.73,4746.45,13198.2822265625,37.16768940195456
msmarco,dispersed32,intersection,plain,complete,5,127.599,126.039,128.408,355.09764099121094,1.0
msmarco,dispersed32,intersection,plain,selected,5,68.4054,68.1923,68.5013,190.38446044921875,1.0
msmarco,dispersed32,union,bec-plain-frame,complete,5,3117.9,3107.1,3138.8,8667.50732421875,24.57981205852674
msmarco,dispersed32,union,local-frame,complete,5,5171.49,5144.4,5176.31,14359.67578125,40.76918831987891
msmarco,dispersed32,union,local-frame,selected,5,5100.34,5068.19,5144.74,14164.9384765625,74.562122919892
msmarco,dispersed32,union,local-inline,complete,5,5134.92,5105.38,5181.84,14260.9013671875,40.48089051463169
msmarco,dispersed32,union,local-point,complete,5,5197.64,5173.28,5199.71,14438.5166015625,40.97534056508577
msmarco,dispersed32,union,mixed-frame,complete,5,5160.88,5124.25,5287.89,14314.6416015625,40.68554490413724
msmarco,dispersed32,union,mixed-frame-point,complete,5,5152.85,5126.01,5158.57,14313.560546875,40.62224079212917
msmarco,dispersed32,union,mixed-point-frame,complete,5,5197.4,5171.6,5240.33,14436.638671875,40.973448536831484
msmarco,dispersed32,union,plain,complete,5,126.848,126.169,127.84,352.05963134765625,1.0
msmarco,dispersed32,union,plain,selected,5,68.4039,67.4872,68.5848,189.96630096435547,1.0
msmarco,none,intersection,bec-plain-frame,complete,5,61.4924,60.5004,61.752,171.1440887451172,1.0938769120752254
msmarco,none,intersection,local-frame,complete,5,66.184,64.0477,66.7632,184.19463348388672,1.177334915351925
