trial,case,repetition,cpu_ns,real_ns
02-candidate,overwrite-all/striped/k4/ikea2,4,129.67742438966388,129.67597136297826
02-candidate,overwrite-all/striped/k4/ikea2,5,129.84869385548149,129.84826370755988
02-candidate,overwrite-all/striped/k4/ikea2,6,129.95123442223613,129.96826381912834
02-candidate,overwrite-all/striped/k4/prior,0,88.36894126495955,88.3665018067185
02-candidate,overwrite-all/striped/k4/prior,1,88.3562738755838,88.35619247602497
02-candidate,overwrite-all/striped/k4/prior,2,88.34896875145931,88.34875231727324
02-candidate,overwrite-all/striped/k4/prior,3,88.36983161048424,88.36913498308726
02-candidate,overwrite-all/striped/k4/prior,4,88.3428234112287,88.34165479336961
02-candidate,overwrite-all/striped/k4/prior,5,88.46052759440127,88.46827820667133
02-candidate,overwrite-all/striped/k4/prior,6,88.46236192072334,88.46194672088102
02-candidate,overwrite-all/striped/k10/ikea2,0,436.0732098630815,436.0611691771447
02-candidate,overwrite-all/striped/k10/ikea2,1,436.0165142759232,436.0045701640004
02-candidate,overwrite-all/striped/k10/ikea2,2,436.1268555584978,436.1262449574456
02-candidate,overwrite-all/striped/k10/ikea2,3,436.1622548637817,436.15977507431285
02-candidate,overwrite-all/striped/k10/ikea2,4,435.8791881493481,435.86709761801217
02-candidate,overwrite-all/striped/k10/ikea2,5,436.42043957071,436.44982632092206
02-candidate,overwrite-all/striped/k10/ikea2,6,437.13626380473187,437.1242885402378
02-candidate,overwrite-all/striped/k10/ikea,0,307.9570078012973,307.9547476122205
02-candidate,overwrite-all/striped/k10/ikea,1,306.72516277559174,306.71678262259974
02-candidate,overwrite-all/striped/k10/ikea,2,306.44054907349897,306.4442917520322
02-candidate,overwrite-all/striped/k10/ikea,3,306.45797219282525,306.45379426838633
02-candidate,overwrite-all/striped/k10/ikea,4,307.1990424575302,307.20283816167813
02-candidate,overwrite-all/striped/k10/ikea,5,308.16162892688527,308.1742201462566
02-candidate,overwrite-all/striped/k10/ikea,6,308.7907944244261,308.78246287759214
02-candidate,overwrite-all/local/k28/ikea2,0,2639.357698904855,2639.284639895631
02-candidate,overwrite-all/local/k28/ikea2,1,2639.3250334571217,2639.2514466647845
02-candidate,overwrite-all/local/k28/ikea2,2,2639.6319718017785,2639.638116598072
02-candidate,overwrite-all/local/k28/ikea2,3,2638.9996795657303,2638.9654119525276
02-candidate,overwrite-all/local/k28/ikea2,4,2638.44595027614,2638.4547339432493
02-candidate,overwrite-all/local/k28/ikea2,5,2639.1743727970165,2639.2417016929735
02-candidate,overwrite-all/local/k28/ikea2,6,2639.4299285619904,2639.356944938711
02-candidate,overwrite-all/local/k28/ikea,0,1751.5007635498814,1751.479208913462
02-candidate,overwrite-all/local/k28/ikea,1,1751.299486794343,1751.2523720095194
02-candidate,overwrite-all/local/k28/ikea,2,1751.7554387282562,1751.7446989608547
02-candidate,overwrite-all/local/k28/ikea,3,1751.3028914757724,1751.2751032693668
02-candidate,overwrite-all/local/k28/ikea,4,1751.1190887470327,1751.0921141591866
02-candidate,overwrite-all/local/k28/ikea,5,1750.6866191012632,1750.8580297926255
02-candidate,overwrite-all/local/k28/ikea,6,1750.1512204280807,1750.1035548880882
02-candidate,overwrite-all/local/k36/ikea2,0,3006.1505910165397,3006.069331613904
02-candidate,overwrite-all/local/k36/ikea2,1,3006.1024500322346,3006.017236185453
02-candidate,overwrite-all/local/k36/ikea2,2,3008.052202879868,3008.0788953410192
02-candidate,overwrite-all/local/k36/ikea2,3,3007.8983451536715,3007.86436708102
02-candidate,overwrite-all/local/k36/ikea2,4,3006.765914463782,3006.681538797369
02-candidate,overwrite-all/local/k36/ikea2,5,3011.143907156666,3011.269417571021
02-candidate,overwrite-all/local/k36/ikea2,6,3011.139995701692,3011.0579626036656
02-candidate,overwrite-all/local/k36/ikea,0,2035.647598285017,2035.6422498390557
02-candidate,overwrite-all/local/k36/ikea,1,2034.668163650895,2034.612746164684
