case,control,scope,native_ns,control_ns,native_over_control,separated,first_edge,second_edge,edges_agree,native_samples,control_samples
structural/inline/127/2,materialized,count,66.7355413173243,69.17457330970544,0.9647409174255228,win,0.9646731600624795,0.9646352872838405,True,"[66.73080856199508, 66.74027407265355, 66.79851848323537, 66.75223168934691, 66.64579153544177, 66.71615482781623]","[69.18433811129455, 69.16480850811632, 69.20032870467647, 69.1288848323548, 69.2365843130442, 69.16205088834288]"
structural/split/127/2,specialized,count,66.85541987310762,66.96191366406569,0.9984096363868523,win,0.998864568888716,0.9943718414689932,True,"[66.87623514636887, 66.8614436709555, 66.87864168961181, 66.84939607525973, 66.77596526081074, 66.79794945748881]","[66.9522548194615, 66.97157250866987, 66.9457220904732, 66.94358258931423, 67.17602678572202, 67.18482940050424]"
structural/split/127/2,materialized,count,66.85541987310762,69.69500162482447,0.9592570243845805,win,0.9593098436873341,0.9585354835694427,True,"[66.87623514636887, 66.8614436709555, 66.87864168961181, 66.84939607525973, 66.77596526081074, 66.79794945748881]","[69.68628033400753, 69.71286241504023, 69.83003498035156, 69.68750828998343, 69.6441847278103, 69.70249495966551]"
structural/inline/255/1,specialized,count,56.652449455582,56.68165285936328,0.9994847820713038,overlap,0.9998110114855988,0.9990379280519436,True,"[56.62499190414799, 56.672866742227676, 56.646055969349334, 56.645102370681656, 56.66479660562183, 56.65884294181467]","[56.66681619681757, 56.60331227300252, 56.656763446903945, 56.86800423672988, 56.713405318150016, 56.696489521909]"
structural/inline/255/1,materialized,count,56.652449455582,58.48941790472081,0.9685931487276686,win,0.9685177360921111,0.968342005557449,True,"[56.62499190414799, 56.672866742227676, 56.646055969349334, 56.645102370681656, 56.66479660562183, 56.65884294181467]","[58.465989453403964, 58.48737081254855, 58.49146499689308, 58.32626071650907, 58.51118986540057, 58.57947150409488]"
structural/split/255/1,specialized,count,56.77147329815101,57.416498238759715,0.9887658606777716,win,0.9875369147077149,0.990377822483634,True,"[56.70281952855438, 56.66425848832264, 56.72954152249148, 56.81340507381053, 56.864754186809314, 56.85845643776974]","[57.4184303230193, 57.45260179260166, 57.41793724798359, 57.41505922953584, 57.410874059338425, 57.370855847477436]"
structural/split/255/1,materialized,count,56.77147329815101,59.14012983159125,0.9599484049124464,win,0.9585261762186628,0.9634735763097011,True,"[56.70281952855438, 56.66425848832264, 56.72954152249148, 56.81340507381053, 56.864754186809314, 56.85845643776974]","[59.178280402368884, 59.12400401219535, 59.156255650987156, 59.21167899674371, 59.01402782165458, 58.98673482046216]"
random_half/refill/g0,specialized,refill,2.096709052736435,2.152769520483333,0.9739589086460535,win,0.9753020571249306,0.9713516938958127,True,"[2.0989804321568397, 2.099568064510359, 2.099597019294835, 2.09443767331603, 2.0911725728565638, 2.0892621528875206]","[2.152802820252004, 2.1527362207146625, 2.152649010696946, 2.152691651032456, 2.152848021986219, 2.153527577050807]"
random_half/refill/g0,materialized,refill,2.096709052736435,4.532463426400598,0.4625981183926533,win,0.4606009217960625,0.46296650363688,True,"[2.0989804321568397, 2.099568064510359, 2.099597019294835, 2.09443767331603, 2.0911725728565638, 2.0892621528875206]","[4.558323627150647, 4.560305034707459, 4.547595689499423, 4.515996439011767, 4.516898212784612, 4.517331163301774]"
random_half/refill/g128,specialized,refill,2.0962848497191118,2.131890640468408,0.9832984909856948,win,0.9862975619300686,0.9810811732451087,True,"[2.10267158695674, 2.0996629952986527, 2.1025715024052083, 2.0916045378130197, 2.0929067041395713, 2.0916642432593204]","[2.131167867186284, 2.1372063977437907, 2.1317821148120073, 2.1350682862833166, 2.1319991661248086, 2.1280931703535604]"
random_half/refill/g128,materialized,refill,2.0962848497191118,4.544643403664661,0.46126498022457213,win,0.46009203165368207,0.4634910855935085,True,"[2.10267158695674, 2.0996629952986527, 2.1025715024052083, 2.0916045378130197, 2.0929067041395713, 2.0916642432593204]","[4.569893320795098, 4.570497786994753, 4.567592456470101, 4.511957493358228, 4.51284675859711, 4.52169435085922]"
random_half/refill/g240,specialized,refill,2.090687234409848,2.1293859069003775,0.981826369581425,win,0.9816953948814787,0.9842442893381997,True,"[2.09613837060114, 2.0918630119587323, 2.090919817538982, 2.090454651280714, 2.0898995628263455, 2.0902553197594087]","[2.129976037251623, 2.130867703837284, 2.1411195152201343, 2.128795776549132, 2.123715974176375, 2.120627278388593]"
random_half/refill/g240,materialized,refill,2.090687234409848,4.529115567279938,0.4616104851714917,win,0.46043722944026483,0.4628119944663687,True,"[2.09613837060114, 2.0918630119587323, 2.090919817538982, 2.090454651280714, 2.0898995628263455, 2.0902553197594087]","[4.540717747488612, 4.5449030616834, 4.543209971317321, 4.517513387071262, 4.5164242602863265, 4.508823855097115]"
