machine,profile,width,head_bits,input_bits,values,scope,arm,median_ns_per_value,ratio_to_separate,samples,input_page_offset,head0_page_offset,head1_page_offset,entry_mod64
zen,avx2,23,16,64,8192,with_payload,joint_tile_avx2,0.20242962650000002,0.996859851203607,"[0.197375216,0.203689642,0.199014209,0.204360053,0.200439073,0.203006715,0.206490792,0.203684427,0.198551007,0.20378948,0.20844771,0.207377568,0.201852538,0.195900135,0.19354789,0.198621117]",2048,1152,1216,32
zen,avx2,23,16,64,8192,with_payload,joint_compact16_avx2,0.1385267305,0.6821715691598738,"[0.138536826,0.141012527,0.146146551,0.134633504,0.133663274,0.139115892,0.139890008,0.138516635,0.138427816,0.140693039,0.135925442,0.141559556,0.139720507,0.136848435,0.134983234,0.135960087]",2048,1152,1216,16
zen,avx2,23,16,64,8192,with_payload,joint_fulltile_control_avx2,0.197591398,0.973034110742642,"[0.198611431,0.203009546,0.208452545,0.196963564,0.192703508,0.1994012,0.200962998,0.20163133,0.196719185,0.197760716,0.195112824,0.203784265,0.196030229,0.19742208,0.196354553,0.190786377]",2048,1152,1216,48
zen,avx2,56,16,64,8192,heads_only,separate_avx2,0.11996076450000001,1.0,"[0.117959131,0.116950531,0.12440927,0.122080717,0.124115452,0.121754341,0.118615568,0.115117192,0.116812658,0.11823741,0.121776693,0.120585784,0.119253825,0.119700756,0.120220773,0.123314139]",2048,2176,2240,0
zen,avx2,56,16,64,8192,heads_only,joint_tile_avx2,0.118486561,0.9877109527757302,"[0.116514225,0.118759476,0.117506761,0.121583611,0.122299321,0.121611621,0.115660865,0.114747562,0.117442802,0.118213646,0.117430467,0.120195553,0.120561305,0.119700905,0.118048534,0.122829285]",2048,2176,2240,48
zen,avx2,56,16,64,8192,heads_only,joint_compact16_avx2,0.074149968,0.6181185015705697,"[0.075628214,0.072966807,0.072923962,0.076320753,0.075140383,0.07578326,0.074436147,0.071935263,0.070698675,0.072997686,0.07165914,0.075381521,0.074552413,0.072525278,0.073863789,0.076904323]",2048,2176,2240,32
zen,avx2,56,16,64,8192,heads_only,joint_fulltile_control_avx2,0.1188717575,0.9909219734924245,"[0.117218982,0.116074931,0.120842233,0.120608136,0.121477548,0.120416317,0.118283756,0.115170535,0.117462318,0.116109654,0.116528604,0.119082052,0.121067431,0.12127113,0.118661463,0.12079801]",2048,2176,2240,0
zen,avx2,56,16,64,8192,with_payload,separate_avx2,0.276237648,1.0,"[0.271980077,0.276514329,0.27703207,0.273708262,0.281784318,0.275552899,0.276559331,0.276136205,0.2732943,0.276339091,0.279538177,0.275428616,0.274898581,0.278154433,0.27273766,0.277743235]",2048,2176,2240,48
zen,avx2,56,16,64,8192,with_payload,joint_tile_avx2,0.2713570595,0.9823319213172564,"[0.27918613,0.274392001,0.273963295,0.270151623,0.272867307,0.270972386,0.277146071,0.273823,0.271201417,0.264934741,0.270070553,0.271512702,0.269906193,0.271033332,0.267224625,0.271927029]",2048,2176,2240,16
zen,avx2,56,16,64,8192,with_payload,joint_compact16_avx2,0.225559395,0.8165411073873609,"[0.232361019,0.228127703,0.225671083,0.22741989,0.225447707,0.221488804,0.2290188,0.224274375,0.223390512,0.22442659,0.220401302,0.222611099,0.229182348,0.223492578,0.232559726,0.227011822]",2048,2176,2240,48
zen,avx2,56,16,64,8192,with_payload,joint_fulltile_control_avx2,0.27074412999999997,0.9801130727843439,"[0.278181262,0.275784239,0.269747347,0.268266529,0.26907336,0.269370191,0.270824708,0.273281932,0.269178338,0.270663552,0.2667045,0.271075718,0.268474624,0.274931505,0.273021385,0.277633265]",2048,2176,2240,32
zen,avx2,17,16,64,65536,heads_only,separate_avx2,0.1390093435,1.0,"[0.139356356,0.13925894,0.14228588,0.140206516,0.139822245,0.133039434,0.135375064,0.142060496,0.134503935,0.137065843,0.138926156,0.135648318,0.135418426,0.135550752,0.140197687,0.139092531]",64,2112,2176,0
zen,avx2,17,16,64,65536,heads_only,joint_tile_avx2,0.1349723765,0.9709590240601345,"[0.137671988,0.136578046,0.138123795,0.138770625,0.134252138,0.132340338,0.134640321,0.136431679,0.133938394,0.131210595,0.136201642,0.132477727,0.132145692,0.135304432,0.135404125,0.13411285]",64,2112,2176,32
zen,avx2,17,16,64,65536,heads_only,joint_compact16_avx2,0.074315261,0.5346062295445629,"[0.075739637,0.075172864,0.075102944,0.077604461,0.072571099,0.071910895,0.071013577,0.071606353,0.073493786,0.072293263,0.076088775,0.074234683,0.074418262,0.074466769,0.074395839,0.071446128]",64,2112,2176,48
zen,avx2,17,16,64,65536,heads_only,joint_fulltile_control_avx2,0.13608369599999998,0.9789535909864935,"[0.138981812,0.1361585,0.136008892,0.137343824,0.136354864,0.134103499,0.131817229,0.135038111,0.130444221,0.132686608,0.135508951,0.137434762,0.13620447,0.137043152,0.134200096,0.136468895]",64,2112,2176,32
zen,avx2,17,16,64,65536,with_payload,separate_avx2,0.19887283449999998,1.0,"[0.193409979,0.201342538,0.199001394,0.199102424,0.196146674,0.194837004,0.199553043,0.201221764,0.195868023,0.194369324,0.191307031,0.202002741,0.202008255,0.197626077,0.198744275,0.201405793]",2048,2176,2240,0
zen,avx2,17,16,64,65536,with_payload,joint_tile_avx2,0.19806261,0.9959259166691267,"[0.194411568,0.199039988,0.200344004,0.196007423,0.191231035,0.195227191,0.194702215,0.199661747,0.204547435,0.197642103,0.197647311,0.203993037,0.199106529,0.198477909,0.194547169,0.202851593]",2048,2176,2240,0
zen,avx2,17,16,64,65536,with_payload,joint_compact16_avx2,0.134392023,0.6757686304310205,"[0.135614455,0.134196594,0.136140019,0.132298917,0.129362091,0.13425754,0.132930882,0.133558974,0.137212321,0.128840618,0.128949918,0.137975045,0.136486925,0.134662703,0.134526506,0.134684168]",2048,2176,2240,32
zen,avx2,17,16,64,65536,with_payload,joint_fulltile_control_avx2,0.2248370535,1.1305568911172732,"[0.224304035,0.215234876,0.222892955,0.224923857,0.215386644,0.227897629,0.224856496,0.227593862,0.226797022,0.216870666,0.213553563,0.224817611,0.229414284,0.228351898,0.225973494,0.222522363]",2048,2176,2240,0
