input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item
02-candidate,scan_grain/k4/bound/decode/256,1,5,"[4.897350387513961,4.899340997900305,4.886321648949463,4.886292946280754,4.890506162833102]",4.890506162833102,"[4.898844951536079,4.8992266062399255,4.886207536637593,4.886178345114723,4.890391352160518]",4.890391352160518,"[0.019130274951226413,0.01913805077304807,0.01908719394120884,0.0190870818214092,0.0191035396985668]",0.0191035396985668
02-candidate,scan_grain/k4/bound/decode/65536,1,5,"[1202.8196199298425,1194.6569151653455,1190.220447501958,1186.0254061233516,1175.493750638559]",1190.220447501958,"[1202.7914722611229,1194.629125090386,1190.1927255385024,1185.997684161378,1175.5988148363735]",1190.1927255385024,"[0.018353570860745887,0.018229017870564964,0.018161322746306732,0.018097311494802114,0.017936611185280744]",0.018161322746306732
02-candidate,scan_grain/k4/bound/decode/8192,1,5,"[130.4914962185251,128.4707348803089,129.08489645120187,129.9208669788127,130.4694893528416]",129.9208669788127,"[130.48841678555692,128.4733768504836,129.0819392785725,129.91783530385277,130.46983703066942]",129.91783530385277,"[0.015929137721987927,0.015682462753943957,0.015757433648828353,0.015859480832374602,0.015926451337016798]",0.015859480832374602
02-candidate,scan_grain/k4/bound/encode/256,1,5,"[6.983724531123766,6.976128338176372,6.980182046607377,6.978142717454824,6.980126580353353]",6.980126580353353,"[6.9838777094268325,6.975963132236228,6.980005707654314,6.978212795782536,6.980489397238373]",6.980005707654314,"[0.02728017394970221,0.027250501321001454,0.02726633611956007,0.027258369990057905,0.027266119454505286]",0.027266119454505286
02-candidate,scan_grain/k4/bound/encode/65536,1,5,"[922.9897148877345,923.3750971225394,923.4652531770627,920.5352340817818,922.3415289392206]",922.9897148877345,"[922.9952064263705,923.3533021669564,923.4683347612972,920.5940212023321,922.3560018436712]",922.9952064263705,"[0.014083705366328955,0.01408958583255828,0.014090961504776957,0.01404625296145297,0.014073814833667306]",0.014083705366328955
02-candidate,scan_grain/k4/bound/encode/8192,1,5,"[92.45236024197031,92.45688761940447,92.42729863399921,92.4208309519505,92.46262669727146]",92.45236024197031,"[92.45239060049505,92.4547453647421,92.4251510995438,92.4186768178606,92.4604699232572]",92.45239060049505,"[0.011285688506099891,0.011286241164478086,0.011282629227783109,0.01128183971581427,0.01128694173550677]",0.011285688506099891
02-candidate,scan_grain/k4/native/decode/256,1,5,"[4.833365473088012,4.829356911057359,4.821912930649754,4.8282199213218515,4.823257566157405]",4.8282199213218515,"[4.833251836094257,4.829242585356109,4.821800051240947,4.82810593997701,4.823625474517181]",4.82810593997701,"[0.018880333879250047,0.018864675433817812,0.018835597385350598,0.018860234067663486,0.018840849867802364]",0.018860234067663486
02-candidate,scan_grain/k4/native/decode/65536,1,5,"[1180.8628575271966,1177.7647592944522,1176.1972558053535,1175.5486203359571,1180.1043029375644]",1177.7647592944522,"[1180.8350120238258,1177.7378890556934,1176.3460510166417,1175.5215146888463,1180.0766928432695]",1177.7378890556934,"[0.01801853725474848,0.017971264027320136,0.017947345822225243,0.017937448430419264,0.018006962630272894]",0.017971264027320136
02-candidate,scan_grain/k4/native/decode/8192,1,5,"[127.12380905905654,127.8718458730639,128.44399137232728,126.77699417339318,127.63632992065276]",127.63632992065276,"[127.12086940410384,127.86880276404311,128.44487951533807,126.77397643982773,127.63329266738731]",127.63329266738731,"[0.015518043098029361,0.015609356185676746,0.015679198165567294,0.015475707296556786,0.015580606679767182]",0.015580606679767182
02-candidate,scan_grain/k4/native/encode/256,1,5,"[3.0850955064508603,3.079848554979225,3.07962103417127,3.0785476702668912,3.081020871540901]",3.079848554979225,"[3.085021775296723,3.0798933297388262,3.079626482718991,3.078475652765683,3.0809490298031945]",3.0798933297388262,"[0.012051154322073673,0.0120306584178876,0.012029769664731524,0.012025576836980044,0.012035237779456644]",0.0120306584178876
02-candidate,scan_grain/k4/native/encode/65536,1,5,"[884.9382561376789,886.4761073146028,885.7731840040549,886.7797393065049,888.9516704631767]",886.4761073146028,"[885.0022905593487,886.48848392749,885.7524803841964,886.7594026830708,888.9580359414722]",886.48848392749,"[0.01350308618374144,0.013526551930459636,0.013515826171936873,0.013531184986976696,0.013564326026354625]",0.013526551930459636
02-candidate,scan_grain/k4/native/encode/8192,1,5,"[87.13112206909487,87.12278010707416,87.09360872208005,87.10469777634701,87.1163548944858]",87.1163548944858,"[87.12908847501302,87.1207664015539,87.09409723222772,87.10269401483262,87.11656248024087]",87.11656248024087,"[0.01063612329945006,0.010635104993539327,0.010631544033457037,0.010632897677776735,0.010634320665830784]",0.010634320665830784
02-candidate,scan_grain/k4/predecessor256/decode/256,1,5,"[3.9758361645837663,3.9782550535981,3.9734096625685202,3.985833114270134,4.000102093751383]",3.9782550535981,"[3.9757418542767904,3.9782776653441294,3.9733154658806127,3.985738747148553,4.0000894243513345]",3.9782776653441294,"[0.015530610017905335,0.015540058803117577,0.015521131494408284,0.015569660602617712,0.01562539880371634]",0.015540058803117577
02-candidate,scan_grain/k4/predecessor256/decode/65536,1,5,"[1163.9429319630326,1153.2769899698499,1154.4506645585236,1158.5716850305564,1167.398455127883]",1158.5716850305564,"[1163.9731870814505,1153.2496006067397,1154.4238187004846,1158.5825221928424,1167.427227958641]",1158.5825221928424,"[0.017760359679611704,0.017597610320584867,0.017615519173561456,0.01767840095566645,0.01781308677868474]",0.01767840095566645
