scope,corpus,name,partition,weighting,corpus_windows,occurrence_weight_within_corpus,model,scan,byte_scope,metadata_bytes,suffix_bytes,plain_bytes,minimum_saving_bytes,windows,actual_body_bytes_sum,predicted_body_bytes_sum,actual_total_bytes_sum,predicted_total_bytes_sum,predicted_conversions,actual_beneficial_windows,false_conversions,missed_savings_windows,false_conversion_excess_bytes,missed_savings_bytes,excess_actual_bytes_over_best,chosen_actual_bytes,best_actual_bytes,near_crossover_windows,near_false_conversions,near_missed_savings_windows,near_excess_actual_bytes_over_best,signed_error_mean_bytes,mae_bytes,p95_absolute_error_bytes,max_absolute_error_bytes,min_signed_error_bytes,max_signed_error_bytes,near_signed_error_mean_bytes,near_mae_bytes,near_p95_absolute_error_bytes,near_max_absolute_error_bytes,near_min_signed_error_bytes,near_max_signed_error_bytes,actual_total_bytes_mean,predicted_total_bytes_mean,false_conversion_fraction,missed_savings_fraction,mean_excess_actual_bytes_over_best
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,aligned_allocation,512,64,8192,0,135,1070246,1067710,1152320,1149632,4,4,0,0,0,0,0,1104384,1104384,124,0,0,0,-18.785185185185185,20.651851851851852,35,43,-43,29,-20.403225806451612,20.79032258064516,35,43,-43,16,8535.703703703704,8515.792592592592,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,readable_extent,512,64,8192,0,135,1070246,1067710,1148006,1145470,4,4,0,0,0,0,0,1104263,1104263,124,0,0,0,-18.785185185185185,20.651851851851852,35,43,-43,29,-20.403225806451612,20.79032258064516,35,43,-43,16,8503.748148148148,8484.962962962964,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,aligned_allocation,1024,64,8192,0,135,1070246,1067710,1221440,1218752,2,2,0,0,0,0,0,1105728,1105728,4,0,0,0,-18.785185185185185,20.651851851851852,35,43,-43,29,-26.75,26.75,36,36,-36,-17,9047.703703703704,9027.792592592592,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,readable_extent,1024,64,8192,0,135,1070246,1067710,1217126,1214590,2,2,0,0,0,0,0,1105676,1105676,4,0,0,0,-18.785185185185185,20.651851851851852,35,43,-43,29,-26.75,26.75,36,36,-36,-17,9015.748148148148,8996.962962962964,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,aligned_allocation,512,64,8192,0,135,1070246,1067896,1152320,1149120,4,4,0,0,0,0,0,1104384,1104384,124,0,0,0,-17.40740740740741,86.19259259259259,203,254,-254,253,-18.806451612903224,85.98387096774194,203,254,-254,253,8535.703703703704,8512.0,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,readable_extent,512,64,8192,0,135,1070246,1067896,1148006,1145656,4,4,0,0,0,0,0,1104263,1104263,124,0,0,0,-17.40740740740741,86.19259259259259,203,254,-254,253,-18.806451612903224,85.98387096774194,203,254,-254,253,8503.748148148148,8486.340740740741,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,aligned_allocation,1024,64,8192,0,135,1070246,1067896,1221440,1218240,2,2,0,0,0,0,0,1105728,1105728,4,0,0,0,-17.40740740740741,86.19259259259259,203,254,-254,253,-71.75,77.75,179,179,-179,12,9047.703703703704,9024.0,0.0,0.0,0.0
archive,msmarco-keyset,and,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,readable_extent,1024,64,8192,0,135,1070246,1067896,1217126,1214776,2,2,0,0,0,0,0,1105676,1105676,4,0,0,0,-17.40740740740741,86.19259259259259,203,254,-254,253,-71.75,77.75,179,179,-179,12,9015.748148148148,8998.340740740741,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,aligned_allocation,512,64,8192,0,135,23490,23464,105472,105280,135,135,0,0,0,0,0,105472,105472,0,0,0,0,-0.1925925925925926,0.4740740740740741,2,3,-3,2,,,,,,,781.2740740740741,779.8518518518518,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,readable_extent,512,64,8192,0,135,23490,23464,101250,101224,135,135,0,0,0,0,0,101250,101250,0,0,0,0,-0.1925925925925926,0.4740740740740741,2,3,-3,2,,,,,,,750.0,749.8074074074074,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,aligned_allocation,1024,64,8192,0,135,23490,23464,174592,174400,135,135,0,0,0,0,0,174592,174592,0,0,0,0,-0.1925925925925926,0.4740740740740741,2,3,-3,2,,,,,,,1293.2740740740742,1291.851851851852,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,cheap,full,readable_extent,1024,64,8192,0,135,23490,23464,170370,170344,135,135,0,0,0,0,0,170370,170370,0,0,0,0,-0.1925925925925926,0.4740740740740741,2,3,-3,2,,,,,,,1262.0,1261.8074074074075,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,aligned_allocation,512,64,8192,0,135,23490,22504,105472,104320,135,135,0,0,0,0,0,105472,105472,0,0,0,0,-7.303703703703704,29.451851851851853,72,128,-90,128,,,,,,,781.2740740740741,772.7407407407408,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,readable_extent,512,64,8192,0,135,23490,22504,101250,100264,135,135,0,0,0,0,0,101250,101250,0,0,0,0,-7.303703703703704,29.451851851851853,72,128,-90,128,,,,,,,750.0,742.6962962962963,0.0,0.0,0.0
