host,family,context,change,seed,baseline_ns,candidate_ns,candidate_over_baseline,baseline_allocated_bytes,candidate_allocated_bytes
zen5,bucket,rows4096/load90_uniform/update/seriespack_tuplepack,N8 fingerprint 7 to 8,918273,37.430647108,35.346669515,0.9443242969594668,48128,48128
zen5,bucket,rows4096/load90_uniform/hit/rawfp_tuplepack,N9 padding,918273,35.479512533,35.766615126,1.008092067012842,50688,64000
zen5,bucket,rows4096/load90_uniform/miss/rawfp_tuplepack,N9 padding,918273,30.198269931,30.658728027,1.0152478303244556,50688,64000
zen5,bucket,rows4096/load90_uniform/mixed/rawfp_tuplepack,N9 padding,918273,32.801800537,33.280383301,1.01459013700971,50688,64000
zen5,bucket,rows4096/load90_uniform/update/rawfp_tuplepack,N9 padding,918273,38.019263373,38.412597656,1.0103456576509933,50688,64000
zen5,bucket,rows4096/load90_uniform/hit/rawfp_tuplepack,N9 split,918273,35.479512533,35.327497694,0.9957154191772335,50688,50688
zen5,bucket,rows4096/load90_uniform/miss/rawfp_tuplepack,N9 split,918273,30.198269931,30.169136741,0.9990352695678737,50688,50688
zen5,bucket,rows4096/load90_uniform/mixed/rawfp_tuplepack,N9 split,918273,32.801800537,32.759933472,0.9987236351567722,50688,50688
zen5,bucket,rows4096/load90_uniform/update/rawfp_tuplepack,N9 split,918273,38.019263373,37.962666829,0.9985113718946961,50688,50688
zen5,bucket,rows4096/load90_uniform/hit/rawfp_tuplepack,N16 padding,918273,29.038929332,29.212074973,1.005962535292553,42880,45696
zen5,bucket,rows4096/load90_uniform/miss/rawfp_tuplepack,N16 padding,918273,27.233846029,27.340456645,1.0039146368047493,42880,45696
zen5,bucket,rows4096/load90_uniform/mixed/rawfp_tuplepack,N16 padding,918273,27.909412731,28.133494984,1.0080289132257916,42880,45696
zen5,bucket,rows4096/load90_uniform/update/rawfp_tuplepack,N16 padding,918273,31.359475708,31.931164551,1.0182301786013008,42880,45696
