dataset,first,count,layout,execution,repetition,windows,passes,calls,logical_blocks,metadata_bytes,body_bytes,query_bytes,body_suffix_bytes,checksum,elapsed_ns,ns_per_call,ns_per_block,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,15,18,local16,split,4,8,1024,8192,147456,4096,60591,65536,512,9757696,12220666,1491.78,82.8767,34040426,49964309,12232658,12232658,available,0,0,unestablished
structural,15,18,scan128,inline,0,8,1024,8192,147456,4096,60591,65536,512,9757696,12230049,1492.93,82.9403,33966322,49939733,12227932,12227932,available,0,0,unestablished
structural,15,18,scan128,inline,1,8,1024,8192,147456,4096,60591,65536,512,9757696,12191670,1488.24,82.6801,33961227,49939733,12204056,12204056,available,0,0,unestablished
structural,15,18,scan128,inline,2,8,1024,8192,147456,4096,60591,65536,512,9757696,12185606,1487.5,82.6389,33962012,49939733,12197993,12197993,available,0,0,unestablished
structural,15,18,scan128,inline,3,8,1024,8192,147456,4096,60591,65536,512,9757696,12187921,1487.78,82.6546,33955973,49939733,12200073,12200073,available,0,0,unestablished
structural,15,18,scan128,inline,4,8,1024,8192,147456,4096,60591,65536,512,9757696,12236193,1493.68,82.982,33965960,49939733,12231854,12231854,available,0,0,unestablished
structural,15,18,scan128,split,0,8,1024,8192,147456,4096,60591,65536,512,9757696,12140437,1481.99,82.3326,33826714,50750741,12152360,12152360,available,0,0,unestablished
structural,15,18,scan128,split,1,8,1024,8192,147456,4096,60591,65536,512,9757696,12152736,1483.49,82.416,33825620,50750741,12165255,12165255,available,0,0,unestablished
structural,15,18,scan128,split,2,8,1024,8192,147456,4096,60591,65536,512,9757696,12143405,1482.35,82.3527,33826066,50750741,12158265,12158265,available,0,0,unestablished
structural,15,18,scan128,split,3,8,1024,8192,147456,4096,60591,65536,512,9757696,12209817,1490.46,82.8031,33829838,50750741,12196303,12196303,available,0,0,unestablished
structural,15,18,scan128,split,4,8,1024,8192,147456,4096,60591,65536,512,9757696,12144797,1482.52,82.3622,33826164,50750741,12156892,12156892,available,0,0,unestablished
structural,255,1,direct32,inline,0,8,16384,131072,131072,8192,60591,65536,512,8617984,11519371,87.8858,87.8858,32052958,46022933,11524699,11524699,available,0,0,unestablished
structural,255,1,direct32,inline,1,8,16384,131072,131072,8192,60591,65536,512,8617984,11482316,87.6031,87.6031,32070703,46022933,11503259,11503259,available,0,0,unestablished
structural,255,1,direct32,inline,2,8,16384,131072,131072,8192,60591,65536,512,8617984,11517007,87.8678,87.8678,32079789,46022933,11528888,11528888,available,0,0,unestablished
structural,255,1,direct32,inline,3,8,16384,131072,131072,8192,60591,65536,512,8617984,11520697,87.8959,87.8959,32072754,46022933,11529624,11529624,available,0,0,unestablished
structural,255,1,direct32,inline,4,8,16384,131072,131072,8192,60591,65536,512,8617984,11554582,88.1545,88.1545,32064687,46022933,11552916,11552916,available,0,0,unestablished
structural,255,1,direct32,split,0,8,16384,131072,131072,8192,60591,65536,512,8617984,11460131,87.4339,87.4339,31927935,46940437,11473492,11473492,available,0,0,unestablished
structural,255,1,direct32,split,1,8,16384,131072,131072,8192,60591,65536,512,8617984,11461884,87.4472,87.4472,31927644,46940437,11474054,11474054,available,0,0,unestablished
structural,255,1,direct32,split,2,8,16384,131072,131072,8192,60591,65536,512,8617984,11480597,87.59,87.59,31925806,46940437,11492570,11492570,available,0,0,unestablished
structural,255,1,direct32,split,3,8,16384,131072,131072,8192,60591,65536,512,8617984,11503916,87.7679,87.7679,31934396,46940437,11501049,11501049,available,0,0,unestablished
structural,255,1,direct32,split,4,8,16384,131072,131072,8192,60591,65536,512,8617984,11535033,88.0053,88.0053,31936673,46940437,11508514,11508514,available,0,0,unestablished
structural,255,1,local16,inline,0,8,16384,131072,131072,4096,60591,65536,512,8617984,14486439,110.523,110.523,40351778,55853333,14498929,14498929,available,0,0,unestablished
structural,255,1,local16,inline,1,8,16384,131072,131072,4096,60591,65536,512,8617984,14469037,110.39,110.39,40331451,55853333,14480949,14480949,available,0,0,unestablished
structural,255,1,local16,inline,2,8,16384,131072,131072,4096,60591,65536,512,8617984,14519850,110.778,110.778,40342265,55853333,14516555,14516555,available,0,0,unestablished
structural,255,1,local16,inline,3,8,16384,131072,131072,4096,60591,65536,512,8617984,14478274,110.46,110.46,40356621,55853333,14489777,14489777,available,0,0,unestablished
structural,255,1,local16,inline,4,8,16384,131072,131072,4096,60591,65536,512,8617984,14470242,110.399,110.399,40318564,55853333,14486052,14486052,available,0,0,unestablished
structural,255,1,local16,split,0,8,16384,131072,131072,4096,60591,65536,512,8617984,14373451,109.661,109.661,40053302,57032981,14386027,14386027,available,0,0,unestablished
structural,255,1,local16,split,1,8,16384,131072,131072,4096,60591,65536,512,8617984,14398121,109.849,109.849,40017337,57032981,14396186,14396186,available,0,0,unestablished
structural,255,1,local16,split,2,8,16384,131072,131072,4096,60591,65536,512,8617984,14377169,109.689,109.689,40062957,57032981,14389441,14389441,available,0,0,unestablished
structural,255,1,local16,split,3,8,16384,131072,131072,4096,60591,65536,512,8617984,14340652,109.41,109.41,39961790,57032981,14352382,14352382,available,0,0,unestablished
structural,255,1,local16,split,4,8,16384,131072,131072,4096,60591,65536,512,8617984,14368874,109.626,109.626,39956127,57032981,14366756,14366756,available,0,0,unestablished
structural,255,1,scan128,inline,0,8,16384,131072,131072,4096,60591,65536,512,8617984,13583903,103.637,103.637,37848549,57557269,13595816,13595816,available,0,0,unestablished
structural,255,1,scan128,inline,1,8,16384,131072,131072,4096,60591,65536,512,8617984,13578693,103.597,103.597,37844092,57557269,13590549,13590549,available,0,0,unestablished
structural,255,1,scan128,inline,2,8,16384,131072,131072,4096,60591,65536,512,8617984,13589467,103.679,103.679,37864493,57557269,13601446,13601446,available,0,0,unestablished
structural,255,1,scan128,inline,3,8,16384,131072,131072,4096,60591,65536,512,8617984,13618451,103.901,103.901,37856196,57557269,13617103,13617103,available,0,0,unestablished
structural,255,1,scan128,inline,4,8,16384,131072,131072,4096,60591,65536,512,8617984,13588829,103.675,103.675,37875357,57557269,13600795,13600795,available,0,0,unestablished
structural,255,1,scan128,split,0,8,16384,131072,131072,4096,60591,65536,512,8617984,13752034,104.92,104.92,37728780,58474773,13667423,13667423,available,0,0,unestablished
structural,255,1,scan128,split,1,8,16384,131072,131072,4096,60591,65536,512,8617984,13616280,103.884,103.884,37735429,58474773,13605243,13605243,available,0,0,unestablished
structural,255,1,scan128,split,2,8,16384,131072,131072,4096,60591,65536,512,8617984,13540552,103.306,103.306,37733247,58474773,13551923,13551923,available,0,0,unestablished
structural,255,1,scan128,split,3,8,16384,131072,131072,4096,60591,65536,512,8617984,13583431,103.633,103.633,37734165,58474773,13581365,13581365,available,0,0,unestablished
structural,255,1,scan128,split,4,8,16384,131072,131072,4096,60591,65536,512,8617984,13544379,103.335,103.335,37735605,58474773,13556389,13556389,available,0,0,unestablished
random_half,0,256,direct32,inline,0,8,128,1024,262144,8192,80123,65536,512,16803456,19118315,18670.2,72.9306,53152976,81722773,19119726,19119726,available,0,0,unestablished
random_half,0,256,direct32,inline,1,8,128,1024,262144,8192,80123,65536,512,16803456,19194728,18744.9,73.2221,53187219,81722773,19136621,19136621,available,0,0,unestablished
random_half,0,256,direct32,inline,2,8,128,1024,262144,8192,80123,65536,512,16803456,19123170,18675,72.9491,53189442,81722773,19116799,19116799,available,0,0,unestablished
random_half,0,256,direct32,inline,3,8,128,1024,262144,8192,80123,65536,512,16803456,19081448,18634.2,72.7899,53173378,81722773,19094704,19094704,available,0,0,unestablished
random_half,0,256,direct32,inline,4,8,128,1024,262144,8192,80123,65536,512,16803456,19075294,18628.2,72.7665,53172588,81722773,19088020,19088020,available,0,0,unestablished
random_half,0,256,direct32,split,0,8,128,1024,262144,8192,80123,65536,512,16803456,20424033,19945.3,77.9115,56880179,81698197,20428450,20428450,available,0,0,unestablished
random_half,0,256,direct32,split,1,8,128,1024,262144,8192,80123,65536,512,16803456,20406902,19928.6,77.8462,56885178,81698197,20419071,20419071,available,0,0,unestablished
random_half,0,256,direct32,split,2,8,128,1024,262144,8192,80123,65536,512,16803456,20443324,19964.2,77.9851,56890163,81698197,20440655,20440655,available,0,0,unestablished
random_half,0,256,direct32,split,3,8,128,1024,262144,8192,80123,65536,512,16803456,20511439,20030.7,78.2449,56901630,81698197,20471237,20471237,available,0,0,unestablished
random_half,0,256,direct32,split,4,8,128,1024,262144,8192,80123,65536,512,16803456,20368932,19891.5,77.7013,56858489,81698197,20415314,20415314,available,0,0,unestablished
random_half,0,256,local16,inline,0,8,128,1024,262144,4096,80123,65536,512,16803456,21777536,21267.1,83.0747,60594664,85289365,21774070,21774070,available,0,0,unestablished
random_half,0,256,local16,inline,1,8,128,1024,262144,4096,80123,65536,512,16803456,21794467,21283.7,83.1393,60616080,85289365,21780898,21780898,available,0,0,unestablished
random_half,0,256,local16,inline,2,8,128,1024,262144,4096,80123,65536,512,16803456,21774238,21263.9,83.0621,60592961,85289365,21771081,21771081,available,0,0,unestablished
random_half,0,256,local16,inline,3,8,128,1024,262144,4096,80123,65536,512,16803456,21741685,21232.1,82.9379,60608544,85289365,21753301,21753301,available,0,0,unestablished
random_half,0,256,local16,inline,4,8,128,1024,262144,4096,80123,65536,512,16803456,21779835,21269.4,83.0835,60606606,85289365,21776849,21776849,available,0,0,unestablished
random_half,0,256,local16,split,0,8,128,1024,262144,4096,80123,65536,512,16803456,21638173,21131,82.5431,60323688,86613397,21651311,21651311,available,0,0,unestablished
random_half,0,256,local16,split,1,8,128,1024,262144,4096,80123,65536,512,16803456,21644427,21137.1,82.5669,60325237,86613397,21657282,21657282,available,0,0,unestablished
random_half,0,256,local16,split,2,8,128,1024,262144,4096,80123,65536,512,16803456,21703441,21194.8,82.7921,60325041,86613397,21690080,21690080,available,0,0,unestablished
random_half,0,256,local16,split,3,8,128,1024,262144,4096,80123,65536,512,16803456,21640979,21133.8,82.5538,60328258,86613397,21654630,21654630,available,0,0,unestablished
random_half,0,256,local16,split,4,8,128,1024,262144,4096,80123,65536,512,16803456,21673150,21165.2,82.6765,60310164,86613397,21670851,21670851,available,0,0,unestablished
random_half,0,256,scan128,inline,0,8,128,1024,262144,4096,80123,65536,512,16803456,21640860,21133.7,82.5533,60332674,85945749,21653962,21653962,available,0,0,unestablished
random_half,0,256,scan128,inline,1,8,128,1024,262144,4096,80123,65536,512,16803456,21675030,21167,82.6837,60329837,85945749,21673072,21673072,available,0,0,unestablished
random_half,0,256,scan128,inline,2,8,128,1024,262144,4096,80123,65536,512,16803456,21791857,21281.1,83.1293,60327418,85945749,21805729,21805729,available,0,0,unestablished
random_half,0,256,scan128,inline,3,8,128,1024,262144,4096,80123,65536,512,16803456,21649560,21142.1,82.5865,60332281,85945749,21662264,21662264,available,0,0,unestablished
random_half,0,256,scan128,inline,4,8,128,1024,262144,4096,80123,65536,512,16803456,21728124,21218.9,82.8862,60329012,85945749,21704011,21704011,available,0,0,unestablished
random_half,0,256,scan128,split,0,8,128,1024,262144,4096,80123,65536,512,16803456,21503718,20999.7,82.0302,59951049,87677333,21516324,21516324,available,0,0,unestablished
random_half,0,256,scan128,split,1,8,128,1024,262144,4096,80123,65536,512,16803456,21550350,21045.3,82.2081,59958404,87677333,21545299,21545299,available,0,0,unestablished
random_half,0,256,scan128,split,2,8,128,1024,262144,4096,80123,65536,512,16803456,21516547,21012.3,82.0791,59951486,87677333,21529527,21529527,available,0,0,unestablished
random_half,0,256,scan128,split,3,8,128,1024,262144,4096,80123,65536,512,16803456,21549876,21044.8,82.2063,59966837,87677333,21547218,21547218,available,0,0,unestablished
random_half,0,256,scan128,split,4,8,128,1024,262144,4096,80123,65536,512,16803456,21514087,21009.9,82.0697,59983481,87677333,21527132,21527132,available,0,0,unestablished
random_half,3,37,direct32,inline,0,8,512,4096,151552,8192,80123,65536,512,9675776,11132532,2717.9,73.4568,30877216,47477525,11114146,11114146,available,0,0,unestablished
random_half,3,37,direct32,inline,1,8,512,4096,151552,8192,80123,65536,512,9675776,11084925,2706.28,73.1427,30874736,47477525,11097029,11097029,available,0,0,unestablished
random_half,3,37,direct32,inline,2,8,512,4096,151552,8192,80123,65536,512,9675776,11089378,2707.37,73.1721,30875103,47477525,11102251,11102251,available,0,0,unestablished
random_half,3,37,direct32,inline,3,8,512,4096,151552,8192,80123,65536,512,9675776,11130232,2717.34,73.4417,30889046,47477525,11125123,11125123,available,0,0,unestablished
random_half,3,37,direct32,inline,4,8,512,4096,151552,8192,80123,65536,512,9675776,11095198,2708.79,73.2105,30882969,47477525,11106733,11106733,available,0,0,unestablished
random_half,3,37,direct32,split,0,8,512,4096,151552,8192,80123,65536,512,9675776,11813458,2884.15,77.9499,32899517,47407893,11825101,11825101,available,0,0,unestablished
random_half,3,37,direct32,split,1,8,512,4096,151552,8192,80123,65536,512,9675776,11848433,2892.68,78.1806,32895620,47407893,11843766,11843766,available,0,0,unestablished
random_half,3,37,direct32,split,2,8,512,4096,151552,8192,80123,65536,512,9675776,11788638,2878.09,77.7861,32896552,47407893,11809358,11809358,available,0,0,unestablished
random_half,3,37,direct32,split,3,8,512,4096,151552,8192,80123,65536,512,9675776,11854109,2894.07,78.2181,32901626,47407893,11851379,11851379,available,0,0,unestablished
random_half,3,37,direct32,split,4,8,512,4096,151552,8192,80123,65536,512,9675776,11809518,2883.18,77.9239,32895910,47407893,11822160,11822160,available,0,0,unestablished
random_half,3,37,local16,inline,0,8,512,4096,151552,4096,80123,65536,512,9675776,12572997,3069.58,82.9616,35024532,49726229,12585665,12585665,available,0,0,unestablished
random_half,3,37,local16,inline,1,8,512,4096,151552,4096,80123,65536,512,9675776,12571784,3069.28,82.9536,35033716,49726229,12584086,12584086,available,0,0,unestablished
random_half,3,37,local16,inline,2,8,512,4096,151552,4096,80123,65536,512,9675776,12618339,3080.65,83.2608,35028541,49726229,12616351,12616351,available,0,0,unestablished
