input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:encoded_bytes,counter:query_bytes,counter:values_per_item,counter:bulk_input_output_bytes,counter:queries_per_iteration,counter:payload_stride,counter:head0_stride,counter:head1_stride,counter:query_hash_lo,counter:query_hash_hi
zen-avx512,head-placement/avx512/local/k56/h16/n8193/payloadgap0/headgap0-17/encode-bound,1,3,"[1365.7043297373018,1365.2069951894673,1364.5334806917076]",1365.2069951894673,"[1365.717104419869,1365.2200949220085,1364.5468729690408]",1365.2200949220085,"[1365.704329737302,1365.2069951894673,1364.5334806917076]",1365.2069951894673,8193.0,,,,,,40.0,,,,
zen-avx512,head-placement/avx512/local/k56/h16/n8193/payloadgap0/headgap13-0/encode-bound,1,3,"[1348.47298638908,1346.4774379496257,1344.2016973577274]",1346.4774379496257,"[1348.536493194659,1346.4903442874727,1344.2148919012654]",1346.4903442874727,"[1348.47298638908,1346.4774379496257,1344.2016973577274]",1346.4774379496257,8193.0,,,,,,40.0,,,,
zen-avx512,head-placement/avx512/local/k56/h16/n8193/payloadgap0/headgap13-17/encode-bound,1,3,"[1452.9318023888661,1451.73495692159,1453.6099569199764]",1452.9318023888661,"[1452.9460464088252,1451.7488535299924,1453.6238535283787]",1452.9460464088252,"[1452.9318023888661,1451.7349569215899,1453.6099569199764]",1452.9318023888661,8193.0,,,,,,40.0,,,,
zen-avx512,head-placement/avx512/local/k56/h16/n8193/payloadgap11/headgap13-17/encode-bound,1,3,"[1502.0927632511587,1501.5390770120428,1500.8961280189224]",1501.5390770120428,"[1502.1068009827807,1501.5534719236202,1500.9105229244085]",1501.5534719236202,"[1502.0927632511584,1501.5390770120425,1500.8961280189224]",1501.5390770120425,8193.0,,,,,,51.0,,,,
zen-avx512,head-placement/avx512/striped/k23/h16/n257/payloadgap0/headgap0-0/encode-bound,1,3,"[39.6393338798407,39.62103365815169,49.581986053542344]",39.6393338798407,"[39.63971349746412,39.62140380888552,49.58478064529869]",39.63971349746412,"[39.6393338798407,39.62103365815169,49.58198605354235]",39.6393338798407,257.0,,,,,,224.0,,,,
zen-avx512,head-placement/avx512/striped/k23/h16/n257/payloadgap0/headgap0-17/encode-bound,1,3,"[38.058283904020186,37.903705365491355,49.89786340594714]",38.058283904020186,"[38.058648461163116,37.90502609317363,49.89835189417782]",38.058648461163116,"[38.058283904020186,37.90370536549135,49.89786340594714]",38.058283904020186,257.0,,,,,,224.0,,,,
zen-avx512,head-placement/avx512/striped/k23/h16/n257/payloadgap0/headgap13-0/encode-bound,1,3,"[37.75263191497954,37.78899275584043,49.758494101386546]",37.78899275584043,"[37.764556789004864,37.7893550963551,49.758970628783445]",37.7893550963551,"[37.75263191497954,37.78899275584043,49.758494101386546]",37.78899275584043,257.0,,,,,,224.0,,,,
zen-avx512,head-placement/avx512/striped/k23/h16/n257/payloadgap0/headgap13-17/encode-bound,1,3,"[52.555381767246985,52.59472748115126,52.51888202931391]",52.555381767246985,"[52.55588473588624,52.595231704420264,52.51938499845225]",52.55588473588624,"[52.555381767246985,52.59472748115127,52.518882029313914]",52.555381767246985,257.0,,,,,,224.0,,,,
zen-avx512,head-placement/avx512/striped/k23/h16/n257/payloadgap32/headgap13-17/encode-bound,1,3,"[51.448285240069914,51.4105550076688,51.37336134609806]",51.4105550076688,"[51.448766684145085,51.41104747670506,51.373853815134304]",51.41104747670506,"[51.448285240069914,51.4105550076688,51.37336134609806]",51.4105550076688,257.0,,,,,,256.0,,,,
zen-avx512,head-placement/avx512/striped/k23/h16/n8193/payloadgap0/headgap0-0/encode-bound,1,3,"[1575.6315334924147,1575.5402898780353,1576.5668744369932]",1575.6315334924147,"[1575.6743766879792,1575.5888029420994,1576.5823070090055]",1575.6743766879792,"[1575.6315334924147,1575.540289878035,1576.5668744369932]",1575.6315334924147,8193.0,,,,,,224.0,,,,
zen-avx512,head-placement/avx512/striped/k23/h16/n8193/payloadgap0/headgap0-17/encode-bound,1,3,"[1578.1947866568323,1578.6440054087725,1577.8976862975605]",1578.1947866568323,"[1578.2099233799038,1578.6587665135044,1577.912823018497]",1578.2099233799038,"[1578.1947866568323,1578.6440054087725,1577.8976862975605]",1578.1947866568323,8193.0,,,,,,224.0,,,,
zen-avx512,head-placement/avx512/striped/k23/h16/n8193/payloadgap0/headgap13-0/encode-bound,1,3,"[1580.3580060996921,1578.531606489533,1580.0906592358285]",1580.0906592358285,"[1580.3735175624772,1578.54674145161,1580.1057941979057]",1580.1057941979057,"[1580.3580060996921,1578.531606489533,1580.0906592358285]",1580.0906592358285,8193.0,,,,,,224.0,,,,
zen-avx512,head-placement/avx512/striped/k23/h16/n8193/payloadgap0/headgap13-17/encode-bound,1,3,"[1581.2767769636532,1581.2432350940876,1580.0937664885312]",1581.2432350940876,"[1581.3447275188632,1581.6326223013893,1580.1092937244855]",1581.3447275188632,"[1581.2767769636534,1581.2432350940876,1580.093766488531]",1581.2432350940876,8193.0,,,,,,224.0,,,,
zen-avx512,head-placement/avx512/striped/k23/h16/n8193/payloadgap32/headgap13-17/encode-bound,1,3,"[1585.219333660983,1585.6781496434355,1583.6014036144365]",1585.219333660983,"[1585.2349167899963,1585.6933554649531,1583.6645285474383]",1585.2349167899963,"[1585.2193336609828,1585.6781496434353,1583.6014036144365]",1585.2193336609828,8193.0,,,,,,256.0,,,,
zen-avx512,head-placement/avx512/striped/k28/h16/n257/payloadgap0/headgap0-0/encode-bound,1,3,"[42.793453712038314,42.783391221297684,42.96619651008372]",42.793453712038314,"[42.79387382624726,42.78379108891532,42.96660852567917]",42.79387382624726,"[42.79345371203831,42.783391221297684,42.96619651008372]",42.79345371203831,257.0,,,,,,96.0,,,,
zen-avx512,head-placement/avx512/striped/k28/h16/n257/payloadgap0/headgap0-17/encode-bound,1,3,"[27.984698661637765,28.024041621032385,40.4964803782547]",28.024041621032385,"[27.98496647355253,28.024838377906523,40.49686840501061]",28.024838377906523,"[27.984698661637765,28.02404162103238,40.4964803782547]",28.02404162103238,257.0,,,,,,96.0,,,,
zen-avx512,head-placement/avx512/striped/k28/h16/n257/payloadgap0/headgap13-0/encode-bound,1,3,"[28.060895306967193,28.008165215469244,30.766432337435727]",28.060895306967193,"[28.061171289634355,28.00842649706622,30.76673371322997]",28.061171289634355,"[28.060895306967193,28.00816521546924,30.766432337435727]",28.060895306967193,257.0,,,,,,96.0,,,,
zen-avx512,head-placement/avx512/striped/k28/h16/n257/payloadgap0/headgap13-17/encode-bound,1,3,"[28.65322851262187,28.782822135356255,28.792465402839653]",28.782822135356255,"[28.653503253566274,28.784785644048593,28.793944356211224]",28.784785644048593,"[28.65322851262187,28.782822135356252,28.792465402839657]",28.782822135356252,257.0,,,,,,96.0,,,,
zen-avx512,head-placement/avx512/striped/k28/h16/n257/payloadgap32/headgap13-17/encode-bound,1,3,"[29.523560987962416,49.456520839467494,38.50353409557637]",38.50353409557637,"[29.523843659696308,49.458383806234465,38.50390234026266]",38.50390234026266,"[29.52356098796242,49.456520839467494,38.50353409557637]",38.50353409557637,257.0,,,,,,128.0,,,,
zen-avx512,head-placement/avx512/striped/k28/h16/n8193/payloadgap0/headgap0-0/encode-bound,1,3,"[1083.7552505508218,1084.1325650649244,1086.1170011643005]",1084.1325650649244,"[1083.8003366573994,1084.1429237391087,1086.127178563696]",1084.1429237391087,"[1083.7552505508218,1084.1325650649246,1086.1170011643005]",1084.1325650649246,8193.0,,,,,,96.0,,,,
zen-avx512,head-placement/avx512/striped/k28/h16/n8193/payloadgap0/headgap0-17/encode-bound,1,3,"[1093.0631658455227,1092.3189810109634,1094.3822250010646]",1093.0631658455227,"[1093.0736370455804,1092.355499995894,1094.3929827383863]",1093.0736370455804,"[1093.0631658455227,1092.3189810109634,1094.3822250010646]",1093.0631658455227,8193.0,,,,,,96.0,,,,
zen-avx512,head-placement/avx512/striped/k28/h16/n8193/payloadgap0/headgap13-0/encode-bound,1,3,"[1092.0365068181165,1092.1741896791812,1091.550992202293]",1092.0365068181165,"[1092.0759081076003,1092.1846462757683,1091.5614487973978]",1092.0759081076003,"[1092.0365068181165,1092.1741896791812,1091.550992202293]",1092.0365068181165,8193.0,,,,,,96.0,,,,
zen-avx512,head-placement/avx512/striped/k28/h16/n8193/payloadgap0/headgap13-17/encode-bound,1,3,"[1102.5927747804537,1111.8462128435472,1111.849386438742]",1111.8462128435472,"[1102.6033534321055,1111.8568443879008,1112.1403522774212]",1111.8568443879008,"[1102.5927747804537,1111.8462128435472,1111.849386438742]",1111.8462128435472,8193.0,,,,,,96.0,,,,
zen-avx512,head-placement/avx512/striped/k28/h16/n8193/payloadgap32/headgap13-17/encode-bound,1,3,"[1124.4986893493203,1125.8063981162265,1129.5003209751724]",1125.8063981162265,"[1124.5397207523738,1125.8172042940316,1129.5114213943766]",1125.8172042940316,"[1124.4986893493203,1125.8063981162265,1129.5003209751724]",1125.8063981162265,8193.0,,,,,,128.0,,,,
zen-avx512,runtime/series/avx2/local/k23/h16/u32/headgapped/mixed,1,3,"[2255.5900881516905,2258.591593205222,2244.693023006239]",2255.5900881516905,"[2255.612986464574,2258.6139539897,2244.7151687640767]",2255.612986464574,"[8.81089878184254,8.822623410957899,8.768332121118119]",8.81089878184254,1280.0,3680.0,65536.0,12.75,,256.0,7.0,21.0,25.0,2488869866.0,4254984960.0
zen-avx512,runtime/series/avx2/local/k23/h16/u32/headgapped/o1-n16,1,3,"[3290.792241376083,3288.6402037620014,3288.113479621418]",3288.6402037620014,"[3290.8246865526876,3288.672648885148,3288.1460031270058]",3288.672648885148,"[12.854657192875324,12.84625079594532,12.844193279771162]",12.84625079594532,1280.0,3680.0,65536.0,16.0,,256.0,7.0,21.0,25.0,327234659.0,503056603.0
zen-avx512,runtime/series/avx2/local/k23/h16/u32/headgapped/o1-n17,1,3,"[3413.5107989611715,3415.958834041007,3418.3775576475973]",3415.958834041007,"[3413.5436829989835,3415.9925300129335,3418.410604078694]",3415.9925300129335,"[13.334026558442076,13.343589195472683,13.353037334560929]",13.343589195472683,1280.0,3680.0,65536.0,17.0,,256.0,7.0,21.0,25.0,946201962.0,281996142.0
zen-avx512,runtime/series/avx2/local/k23/h16/u32/independentlygapped/mixed,1,3,"[2329.92758218103,2330.0265865745428,2327.799599534209]",2329.92758218103,"[2330.0028922589972,2330.563601990073,2327.8231269617263]",2330.0028922589972,"[9.10127961789465,9.101666353806808,9.092967185680504]",9.10127961789465,1280.0,3680.0,65536.0,12.75,,256.0,18.0,21.0,25.0,2488869866.0,4254984960.0
zen-avx512,runtime/series/avx2/local/k23/h16/u32/independentlygapped/o1-n16,1,3,"[3299.099211976434,3296.1755713119596,3295.39227738547]",3296.1755713119596,"[3299.1318361077265,3296.207407425042,3295.424822675075]",3296.207407425042,"[12.887106296782946,12.875685825437342,12.872626083536991]",12.875685825437342,1280.0,3680.0,65536.0,16.0,,256.0,18.0,21.0,25.0,327234659.0,503056603.0
zen-avx512,runtime/series/avx2/local/k23/h16/u32/independentlygapped/o1-n17,1,3,"[3418.5449959324005,3416.5270951996417,3416.0902359639017]",3416.5270951996417,"[3418.57884456952,3416.560943864513,3416.2525630722425]",3416.560943864513,"[13.35369139036094,13.3458089656236,13.344102484233993]",13.3458089656236,1280.0,3680.0,65536.0,17.0,,256.0,18.0,21.0,25.0,946201962.0,281996142.0
