input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:encoded_bytes,counter:bulk_input_output_bytes
gnr-n256-03-candidate,bulk/series/avx2/local/k20/h16/u32/encode,1,5,"[60.30964117780274,60.29266314385537,60.300831853057936,60.289027822863595,60.29327706708267]",60.29327706708267,"[60.34150491238943,60.29630707526952,60.315609923549566,60.292639034301516,60.296815951425266]",60.296815951425266,"[0.23558453585079192,0.23551821540568504,0.23555012442600756,0.23550401493306092,0.23552061354329165]",0.23552061354329165,256.0,640.0,2048.0
gnr-n256-03-candidate,bulk/series/avx2/local/k20/h16/u64/decode,1,5,"[77.46302397980318,77.78288287389735,77.44576588078681,77.52548761444439,77.29059814851144]",77.46302397980318,"[77.47926024702726,77.7928573724131,77.45046054509294,77.53640969040698,77.3012099063983]",77.47926024702726,"[0.3025899374211062,0.30383938622616147,0.30252252297182347,0.3028339359939234,0.3019163990176228]",0.3025899374211062,256.0,640.0,4096.0
gnr-n256-03-candidate,bulk/series/avx2/local/k20/h16/u64/encode,1,5,"[93.39113403163701,93.3762304938013,93.42889589568267,93.3749612548097,93.33731562633612]",93.3762304938013,"[93.39754836456459,93.39840610295678,93.48381386290528,93.41453211853359,93.35028190437787]",93.39840610295678,"[0.3648091173110821,0.3647509003664114,0.36495662459251044,0.3647459424016004,0.3645988891653755]",0.3647509003664114,256.0,640.0,4096.0
gnr-n256-03-candidate,bulk/series/avx2/local/k3/h0/u64/decode,1,5,"[61.361765668933536,61.36766919867376,61.35125782492013,61.414586678301106,61.469702383094685]",61.36766919867376,"[61.37194695325816,61.3745576744027,61.35487982688676,61.429417925211695,61.48875783596741]",61.3745576744027,"[0.23969439714427163,0.23971745780731937,0.23965335087859427,0.23990072921211367,0.24011602493396358]",0.23971745780731937,256.0,96.0,4096.0
gnr-n256-03-candidate,bulk/series/avx2/local/k3/h0/u64/encode,1,5,"[54.78955243304637,54.80099853689894,54.761943597651154,54.729502190707926,54.72901159832947]",54.761943597651154,"[54.84098339314623,54.8587795923406,54.826295594055836,54.74406379259041,54.73760406352876]",54.826295594055836,"[0.21402168919158737,0.21406640053476148,0.2139138421783248,0.2137871179324528,0.21378520155597452]",0.2139138421783248,256.0,96.0,4096.0
gnr-n256-03-candidate,bulk/series/avx2/local/k3/h0/u8/decode,1,5,"[16.92786125222306,16.917293571194428,16.915147879839317,16.90985872042816,16.91358170647616]",16.915147879839317,"[16.93773312478433,16.924092813741286,16.917950455008214,16.911701960018632,16.914570537821312]",16.917950455008214,"[0.06612445801649633,0.06608317801247823,0.06607479640562233,0.0660541356266725,0.06606867854092252]",0.06607479640562233,256.0,96.0,512.0
gnr-n256-03-candidate,bulk/series/avx2/local/k3/h0/u8/encode,1,5,"[31.270045456130738,31.26488771003227,31.26183464628192,31.269399787698458,31.265945193302542]",31.265945193302542,"[31.289862647870336,31.269627381404913,31.265419358096207,31.2719399832402,31.2714937387568]",31.2714937387568,"[0.12214861506301068,0.12212846761731354,0.12211654158703873,0.12214609292069711,0.12213259841133807]",0.12213259841133807,256.0,96.0,512.0
gnr-n256-03-candidate,bulk/series/avx2/local/k4/h0/u64/decode,1,5,"[49.782413152467065,49.739208645876516,49.7551822806728,49.77139400969168,49.746937824003744]",49.7551822806728,"[49.891655046267495,49.74240124056848,49.786453646746175,49.78620844556386,49.75494702944514]",49.78620844556386,"[0.19446255137682447,0.19429378377295511,0.19435618078387815,0.1944195078503581,0.19432397587501463]",0.19435618078387815,256.0,128.0,4096.0
gnr-n256-03-candidate,bulk/series/avx2/local/k4/h0/u64/encode,1,5,"[48.72308439152398,48.759476355774915,48.74472204732728,48.75641182796299,48.7396746307243]",48.74472204732728,"[48.728429206371686,48.763972853985415,48.75734720531533,48.78177427803197,48.74477567669184]",48.75734720531533,"[0.19032454840439053,0.19046670451474573,0.19040907049737218,0.1904547337029804,0.19038935402626683]",0.19040907049737218,256.0,128.0,4096.0
gnr-n256-03-candidate,bulk/series/avx2/local/k4/h0/u8/decode,1,5,"[15.492578588305927,15.4800844445211,15.476535323760801,15.480423098549425,15.480471762093662]",15.480423098549425,"[15.50262827384882,15.48103338363453,15.478059598650367,15.48318718781867,15.481386194320931]",15.481386194320931,"[0.060517885110570026,0.06046907986141054,0.06045521610844063,0.06047040272870869,0.06047059282067836]",0.06047040272870869,256.0,128.0,512.0
