input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes
zen5,count/random256/direct4/cp16/point/cps/masked25,1,5,"[2475.938996275938,2477.6877105869858,2474.7279659514247,2471.8957261925916,2473.894484837718]",2474.7279659514247,"[2475.960631304045,2478.87781523788,2474.770704015581,2471.9154105591206,2478.5834367700695]",2475.960631304045,,,1024.0,62.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/cps/scan,1,5,"[9985.064907275266,9985.65691868758,9994.222539229648,9989.365905848805,9998.47432239659]",9989.365905848805,"[9985.151212487015,10000.601283898506,10000.130527786652,9989.452210985562,9998.560627704159]",9998.560627704159,,,1024.0,256.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/cps/sparse17,1,5,"[632.7332428151143,632.9174473862852,633.0464358452125,633.3301651957445,632.8595157275392]",632.9174473862852,"[632.9604887883336,632.9229237345832,634.2671645189436,633.4488345694159,632.865037339964]",632.9604887883336,,,1024.0,16.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/cps_fused/masked25,1,5,"[2482.375887784074,2483.709339488638,2485.2024147727457,2484.783558238614,2481.337180397715]",2483.709339488638,"[2482.3973721459097,2483.7308238384085,2485.2242542682357,2484.8050426129475,2481.358664763178]",2483.7308238384085,,,1024.0,62.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/cps_fused/scan,1,5,"[10045.610473457587,10042.683644189241,10037.984218077478,10021.241750358557,10024.928981348563]",10037.984218077478,"[10068.294117689487,10042.770444783691,10038.079627015362,10021.328550988368,10025.015781804275]",10038.079627015362,,,1024.0,256.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/cps_fused/sparse17,1,5,"[635.9597330670085,635.9388051570779,635.6709642273469,636.6229798438292,635.7145905211557]",635.9388051570779,"[636.3111948380704,644.8181405459898,635.6765026309607,638.0458053421713,635.7927183556948]",636.3111948380704,,,1024.0,16.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/inline/masked25,1,5,"[1649.955225639214,1648.739366089313,1649.6690232119693,1650.9720749381395,1649.5276304936967]",1649.6690232119693,"[1650.554023793991,1648.7536231997663,1649.6844585833499,1650.9864498655331,1649.849416751575]",1649.849416751575,,,1024.0,62.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/inline/scan,1,5,"[6698.045411089869,6700.985181644358,6693.164435946464,6700.899139579354,6702.103728489484]",6700.899139579354,"[6700.646749612457,6713.462237079525,6693.222753367419,6700.95745693551,6706.243785876278]",6700.95745693551,,,1024.0,256.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/inline/sparse17,1,5,"[448.50353792463113,448.7500400217715,448.2896615758967,447.9656453110485,448.1529151858614]",448.2896615758967,"[448.50741202970374,449.5947555477528,448.45173373986137,449.48365511197903,448.2387858987486]",448.50741202970374,,,1024.0,16.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/materialized/masked25,1,5,"[1674.833732343799,1674.7558056021162,1672.5785252573642,1672.7508977735265,1673.6582475460782]",1673.6582475460782,"[1674.8482164347931,1675.4215944630623,1672.5930093556942,1672.7653818725078,1673.9528369732127]",1673.9528369732127,,,1024.0,62.0,256.0,10031.0
