input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:rows_per_call,counter:drawn_codes,counter:stride
avx512,gpr/2/unit4/stride64/map2/scan/all/word_hash/gpr_compiled,1,3,"[1864.6616121310155,1876.1380686341786,1867.3006118640708]",1867.3006118640708,"[1865.177174783619,1876.1641393998366,1867.3237563183527]",1867.3237563183527,"[1.8209586055966949,1.832166082650565,1.8235357537735066]",1.8235357537735066,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/word_hash/gpr_inline,1,3,"[1610.9552686188304,1614.4784413195587,1610.8881715473042]",1610.9552686188304,"[1610.975328566487,1616.211667048409,1610.9084620682904]",1610.975328566487,"[1.5731985045105763,1.5766391028511315,1.5731329800266642]",1.5731985045105763,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/word_hash/gpr_points,1,3,"[1613.4010633385121,1612.1710587145458,1616.5101710586475]",1613.4010633385121,"[1613.8860379115727,1612.193943596084,1616.5305131728328]",1613.8860379115727,"[1.5755869759165158,1.5743857995259238,1.5786232139244605]",1.5755869759165158,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/word_hash/point,1,3,"[2032.095031772686,2046.3642403231638,2028.7469670712828]",2032.095031772686,"[2032.12045060886,2046.3896591572855,2029.344309642864]",2032.12045060886,"[1.9844678044655137,1.9984025784405897,1.9811982100305496]",1.9844678044655137,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/word_hash/simd,1,3,"[1020.8991252820621,1016.0811230240587,1009.9623306999752]",1016.0811230240587,"[1020.9133747184059,1017.1674661378435,1009.9736173826245]",1017.1674661378435,"[0.9969718020332639,0.9922667217031822,0.9862913385741945]",0.9922667217031822,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/word_hash/simd_full,1,3,"[492.30461603895503,484.58718003248475,491.5892363325181]",491.5892363325181,"[492.7342409419896,484.5939870943675,491.59540523351444]",491.59540523351444,"[0.48076622660054197,0.47322966800047345,0.4800676136059747]",0.4800676136059747,1024.0,16.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/sum/gpr_compiled,1,3,"[1395.3260524232676,1393.3743050033331,1404.3175139003235]",1395.3260524232676,"[1395.3417394798987,1393.798649723317,1404.3389594938374]",1395.3417394798987,"[1.3626230980695972,1.3607170947298175,1.3714038221682847]",1.3626230980695972,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/sum/gpr_inline,1,3,"[1239.9472187666702,1241.9338901719832,1242.7977607958937]",1241.9338901719832,"[1240.1226230667235,1241.951306202649,1243.1526568369677]",1241.951306202649,"[1.2108859558268263,1.2128260646210773,1.21366968827724]",1.2128260646210773,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/sum/gpr_points,1,3,"[1274.762789004395,1276.1465501536711,1272.6985253954692]",1274.762789004395,"[1274.77899144197,1276.9635900216397,1272.7163662866424]",1274.77899144197,"[1.2448855361371045,1.2462368653844444,1.242869653706513]",1.2448855361371045,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/sum/point,1,3,"[1421.6172688301604,1425.2894468263771,1423.32373953825]",1423.32373953825,"[1421.639110024773,1425.3072055519415,1423.5007144312242]",1423.5007144312242,"[1.3882981140919535,1.3918842254163837,1.3899645893928223]",1.3899645893928223,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/sum/simd,1,3,"[1119.6004780877192,1114.327011952449,1111.7949003992053]",1114.327011952449,"[1119.6160956177596,1114.3427888422216,1111.8089243013512]",1114.3427888422216,"[1.0933598418825383,1.0882099726098136,1.085737207421099]",1.0882099726098136,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/sum/simd_full,1,3,"[320.6425715730739,320.28321308769017,318.26947291038005]",320.28321308769017,"[320.6470290886921,320.28767060428794,318.3599099303839]",320.28767060428794,"[0.31312751130183,0.31277657528094743,0.310810032139043]",0.31277657528094743,1024.0,16.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/update/gpr_compiled,1,3,"[3728.123936168426,3735.3632978723826,3734.42180851215]",3734.42180851215,"[3728.1755319230447,3735.4095744700667,3734.4680851022754]",3734.4680851022754,"[3.6407460314144786,3.6478157205784987,3.646896297375147]",3.646896297375147,1024.0,2.0,4.0,64.0
