family,case,rows,seed,repetitions,median_ns,min_ns,max_ns,allocated_bytes,queries,conditional_visits
prefix,E64prefix7/all_fields,4096,712367,3,14.954815093,14.876848493,15.050173805,299264,32768,32768
prefix,E64prefix7/equality_mismatch0,4096,712367,3,1.347885602,1.346617846,1.348595304,299264,32768,0
prefix,E64prefix7/equality_mismatch7,4096,712367,3,2.976342655,2.975323131,2.976597462,299264,32768,32768
prefix,E64prefix7/equality_mismatch8,4096,712367,3,2.977293737,2.974244645,2.978484515,299264,32768,32768
prefix,E64prefix7/equality_mismatch15,4096,712367,3,2.974890848,2.974721964,2.97753047,299264,32768,32768
prefix,E64prefix7/equality_mismatch16,4096,712367,3,3.137890563,3.136355653,3.142982327,299264,32768,32768
prefix,E64prefix7/equality_mismatch17,4096,712367,3,2.799132191,2.798715765,2.801014192,299264,32768,28672
prefix,E64prefix7/update_raw,4096,712367,3,0.858684583,0.85803557,0.859048822,299264,32768,0
prefix,E64prefix7/update_tuplepack_effects,4096,712367,3,2.453812256,2.453431641,2.453976074,299264,32768,0
prefix,F64side/scalar_raw,4096,712367,3,0.293293128,0.293248568,0.293359703,299136,32768,0
prefix,F64side/scalar_tuplepack,4096,712367,3,1.337815464,1.337448853,1.338521857,299136,32768,0
prefix,F64side/full_string_rare,4096,712367,3,19.378673553,19.210617065,19.884292603,299136,32768,32768
prefix,F64side/all_fields,4096,712367,3,14.986466181,14.924455915,15.002580915,299136,32768,32768
prefix,F64side/equality_mismatch0,4096,712367,3,1.347634202,1.345633755,1.348259207,299136,32768,0
prefix,F64side/equality_mismatch7,4096,712367,3,1.347928488,1.347775363,1.34865849,299136,32768,0
prefix,F64side/equality_mismatch8,4096,712367,3,2.963042028,2.962965289,2.966076008,299136,32768,32768
prefix,F64side/equality_mismatch15,4096,712367,3,2.966618214,2.964603461,2.967350339,299136,32768,32768
prefix,F64side/equality_mismatch16,4096,712367,3,3.136103416,3.134944994,3.13799644,299136,32768,32768
prefix,F64side/equality_mismatch17,4096,712367,3,1.983007456,1.981029092,1.985752254,299136,32768,12288
prefix,F64side/update_raw,4096,712367,3,0.858610775,0.857975649,0.85961374,299136,32768,0
prefix,F64side/update_tuplepack_effects,4096,712367,3,2.452647705,2.450340576,2.454347168,299136,32768,0
prefix,B64prefix9/scalar_raw,262144,918273,3,0.688364574,0.687767097,0.68998582,18612480,262144,0
prefix,B64prefix9/scalar_tuplepack,262144,918273,3,1.678837652,1.67483222,1.680642169,18612480,262144,0
prefix,B64prefix9/full_string_rare,262144,918273,3,19.661342621,19.65171051,19.728826523,18612480,262144,262144
