series,variant,case,policy,seed,width,cohort,attempts,complete,failed,historical_omitted_keys,offered,oldest_pending_ticks,p50_ticks,p99_ticks,pending,rejections,program_executions
sweep,default,blind_bulk_readers,ordered-writes,0,16,bulk,1,1,0,0,1,0,125,125,0,{},
sweep,default,blind_bulk_readers,ordered-writes,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,blind_bulk_readers,ordered-writes,0,16,report,128,128,0,32,128,0,25,36,0,{},
sweep,default,wan_reports_fresh,arbitration,0,16,regional,96,96,0,0,96,0,1,4,0,{},
sweep,default,wan_reports_fresh,arbitration,0,16,report,128,128,0,0,128,0,109,198,0,{},
sweep,default,wan_reports_fresh,arbitration,0,16,wan,64,64,0,0,64,0,128,183,0,{},
sweep,default,wan_reports_fresh,wound-wait,0,16,regional,96,96,0,0,96,0,1,1,0,{},
sweep,default,wan_reports_fresh,wound-wait,0,16,report,128,18,0,0,128,652,316,599,110,{},
sweep,default,wan_reports_fresh,wound-wait,0,16,wan,64,13,0,0,64,648,283,627,51,{},
sweep,default,wan_reports_fresh,wait-die,0,16,regional,96,96,0,0,96,0,1,7,0,{},
sweep,default,wan_reports_fresh,wait-die,0,16,report,630,128,0,0,128,0,125,189,0,{},
sweep,default,wan_reports_fresh,wait-die,0,16,wan,625,64,0,0,64,0,147,207,0,{},
sweep,default,wan_reports_fresh,occ,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,wan_reports_fresh,occ,0,16,report,446,55,73,0,128,0,119,155,0,"{""capture_promise"": 391}",
sweep,default,wan_reports_fresh,occ,0,16,wan,64,64,0,0,64,0,49,51,0,{},
sweep,default,wan_reports_fresh,certification,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,wan_reports_fresh,certification,0,16,report,446,55,73,0,128,0,119,155,0,"{""capture_promise"": 391}",
sweep,default,wan_reports_fresh,certification,0,16,wan,64,64,0,0,64,0,49,51,0,{},
sweep,default,wan_reports_fresh,snapshot-wait,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,wan_reports_fresh,snapshot-wait,0,16,report,128,128,0,1089,128,0,77,86,0,{},
sweep,default,wan_reports_fresh,snapshot-wait,0,16,wan,64,64,0,0,64,0,49,51,0,{},
sweep,default,wan_reports_fresh,ordered-writes,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,wan_reports_fresh,ordered-writes,0,16,report,128,128,0,1257,128,0,77,82,0,{},
sweep,default,wan_reports_fresh,ordered-writes,0,16,wan,64,64,0,0,64,0,76,79,0,{},
sweep,default,wan_reports_allow_old,arbitration,0,16,regional,96,96,0,0,96,0,1,4,0,{},
sweep,default,wan_reports_allow_old,arbitration,0,16,report,128,128,0,0,128,0,109,198,0,{},
sweep,default,wan_reports_allow_old,arbitration,0,16,wan,64,64,0,0,64,0,128,183,0,{},
sweep,default,wan_reports_allow_old,wound-wait,0,16,regional,96,96,0,0,96,0,1,1,0,{},
sweep,default,wan_reports_allow_old,wound-wait,0,16,report,128,18,0,0,128,652,316,599,110,{},
sweep,default,wan_reports_allow_old,wound-wait,0,16,wan,64,13,0,0,64,648,283,627,51,{},
sweep,default,wan_reports_allow_old,wait-die,0,16,regional,96,96,0,0,96,0,1,7,0,{},
sweep,default,wan_reports_allow_old,wait-die,0,16,report,630,128,0,0,128,0,125,189,0,{},
sweep,default,wan_reports_allow_old,wait-die,0,16,wan,625,64,0,0,64,0,147,207,0,{},
sweep,default,wan_reports_allow_old,occ,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,wan_reports_allow_old,occ,0,16,report,128,128,0,2860,128,0,53,56,0,{},
sweep,default,wan_reports_allow_old,occ,0,16,wan,64,64,0,0,64,0,49,51,0,{},
sweep,default,wan_reports_allow_old,certification,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,wan_reports_allow_old,certification,0,16,report,128,128,0,2852,128,0,53,56,0,{},
sweep,default,wan_reports_allow_old,certification,0,16,wan,64,64,0,0,64,0,49,51,0,{},
sweep,default,wan_reports_allow_old,snapshot-wait,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,wan_reports_allow_old,snapshot-wait,0,16,report,128,128,0,2852,128,0,53,56,0,{},
sweep,default,wan_reports_allow_old,snapshot-wait,0,16,wan,64,64,0,0,64,0,49,51,0,{},
sweep,default,wan_reports_allow_old,ordered-writes,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,wan_reports_allow_old,ordered-writes,0,16,report,128,128,0,2792,128,0,53,55,0,{},
