model,arithmetic,partition,slice,sample_tiles,weighted_tiles,mae_bytes,bias_bytes,rmse_bytes,p50_abs_bytes,p95_abs_bytes,p99_abs_bytes,max_abs_bytes,threshold_8_wrong_fraction,threshold_8_false_compress_fraction,threshold_8_missed_compress_fraction,threshold_16_wrong_fraction,threshold_16_false_compress_fraction,threshold_16_missed_compress_fraction,threshold_24_wrong_fraction,threshold_24_false_compress_fraction,threshold_24_missed_compress_fraction,threshold_32_wrong_fraction,threshold_32_false_compress_fraction,threshold_32_missed_compress_fraction
symmetric_three,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.17595609130859374,-0.02545347086588538,0.5237267274625133,0.0,1.0,2.0,6.0,0.00876109619140625,0.008717883300781248,4.321289062499999e-05,0.002807576497395833,0.002807576497395833,0.0,0.0006998697916666665,0.0006835937499999998,1.6276041666666663e-05,2.4414062499999995e-05,2.4414062499999995e-05,0.0
symmetric_three,q12,synthetic_stress,partial,7353,7353.0,1.1748946008431933,-0.369781041751666,1.4965848061073403,1.0,3.0,4.0,7.0,0.01808785529715762,0.01808785529715762,0.0,0.02107983136134911,0.02107983136134911,0.0,0.00761593907248742,0.00761593907248742,0.0,0.005303957568339453,0.0027199782401740786,0.002583979328165375
symmetric_three_piecewise,q12,validation,partial,15052,215112.00000000006,0.0892389197255383,0.04934045752910111,0.30241845585281846,0.0,1.0,1.0,5.0,0.03670775688943434,0.0013569024508163184,0.03535085443861801,6.066607162780318e-05,5.601733050689872e-05,4.648741120904458e-06,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
symmetric_three_piecewise,q12,test,partial,33018,96762.0,0.18474460532027034,0.055156874599532876,0.47010414509586257,0.0,1.0,2.0,5.0,0.012495845476530043,0.002336557739608524,0.01015928773692152,0.003807718939253013,0.003180680432401149,0.0006270385068518633,0.0008061015687976685,0.0006510820363365784,0.00015501953246109009,0.001570864595605713,0.00021702734544552614,0.001353837250160187
symmetric_three_piecewise,q12,test,corpus:census-income,23134,133376.0,0.08656313354726489,0.05079839326415547,0.30284446919630664,0.0,1.0,1.0,2.0,0.0054996776031669865,0.00014465870921305182,0.005355018893953934,0.0014523639935220727,0.0011290786948176582,0.0003232852987044146,8.997120921305183e-05,2.2492802303262957e-05,6.747840690978887e-05,0.0010946497120921305,0.0001199616122840691,0.0009746880998080614
symmetric_three_piecewise,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.05152028808593749,-0.011704077148437499,0.27290349642204104,0.0,0.0,1.0,5.0,0.0038704264322916657,0.0016829101562499996,0.002187516276041666,0.0014219726562499997,0.001279109700520833,0.00014286295572916663,0.0005371093749999998,0.0004882812499999999,4.882812499999999e-05,4.882812499999999e-05,4.069010416666666e-05,8.138020833333332e-06
symmetric_three_piecewise,q12,synthetic_stress,partial,7353,7353.0,0.5679314565483476,0.2758057935536516,0.902570486406539,0.0,2.0,3.0,6.0,0.007479940160478716,0.00516795865633075,0.0023119815041479667,0.008703930368557052,0.008431932544539644,0.00027199782401740786,0.002039983680130559,0.0009519923840609275,0.0010879912960696314,0.009247926016591867,0.004759961920304637,0.00448796409628723
half_four,q12,validation,partial,15052,215112.00000000006,0.5752936725984602,0.021508913961099368,0.7763005787142188,1.0,1.0,1.0,6.0,0.05314288835583322,0.05306564254899771,7.724580683550891e-05,8.402599576034807e-05,8.402599576034807e-05,0.0,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
half_four,q12,test,partial,33018,96762.0,0.799223579504351,0.13494207436803698,1.0338523817229162,1.0,2.0,3.0,8.0,0.02819369173849239,0.02785574915772721,0.00033794258076517644,0.013597693309356979,0.01342976064984188,0.00016793265951509887,0.001415845063144623,0.0013745065211549989,4.133854198962403e-05,0.0021082656414708255,0.00024803125193774417,0.0018602343895330812
half_four,q12,test,corpus:census-income,23134,133376.0,0.42634715016194813,0.11695193663027831,0.7095231767502238,0.0,1.0,2.0,3.0,0.012659402741122842,0.012651905140355087,7.497600767754318e-06,0.007187282569577735,0.00715025566818618,3.70269013915547e-05,0.00034488963531669863,0.00034488963531669863,0.0,0.0014620321497120922,0.00014995201535508636,0.0013120801343570057
