scope,case,best_ordinary,ordinary_ns,best_retained_prior,prior_ns,ratio,same_wire
large,local/k23/h16/u64/encode,bulk/series/avx512/local/k23/h16/u64/encode,0.201598478921093,bulk/calico/striped/k23/h0/u64/encode,0.11453831974119706,1.7600963535750402,False
large,local/k24/h16/u64/encode,bulk/series/avx512/local/k24/h16/u64/encode,0.20170159011350408,bulk/calico/striped/k24/h0/u64/encode,0.10117951032997344,1.9935023351635253,False
large,local/k25/h16/u64/encode,bulk/series/avx512/local/k25/h16/u64/encode,0.21287468973026358,bulk/calico/striped/k25/h0/u64/encode,0.1124741901362857,1.8926536787890798,False
large,local/k26/h16/u64/encode,bulk/series/avx512/local/k26/h16/u64/encode,0.20714301358253034,bulk/calico/local/k26/h0/u64/encode,0.11512512948002801,1.799285825067981,False
large,local/k27/h16/u64/encode,bulk/series/avx512/local/k27/h16/u64/encode,0.208157870921847,bulk/calico/striped/k27/h0/u64/encode,0.11711581500180161,1.7773677356780968,False
large,local/k28/h16/u64/encode,bulk/series/avx512/local/k28/h16/u64/encode,0.20983175819519828,bulk/calico/striped/k28/h0/u64/encode,0.11272598876831466,1.8614319598159814,False
large,local/k29/h16/u64/encode,bulk/series/avx512/local/k29/h16/u64/encode,0.20792143773473537,bulk/calico/striped/k29/h0/u64/encode,0.11400616237095418,1.8237736751299365,False
large,local/k30/h16/u64/encode,bulk/series/avx512/local/k30/h16/u64/encode,0.20814475919474087,bulk/calico/striped/k30/h0/u64/encode,0.11481323033958046,1.8128987276040913,False
large,local/k31/h16/u64/encode,bulk/series/avx512/local/k31/h16/u64/encode,0.20921179177783011,bulk/calico/striped/k31/h0/u64/encode,0.11290952714822916,1.8529153124800004,False
large,local/k32/h16/u64/encode,bulk/series/avx512/local/k32/h16/u64/encode,0.20638159951804005,bulk/calico/striped/k32/h0/u64/encode,0.10395781031711529,1.9852438108160309,False
large,local/k33/h16/u64/encode,bulk/series/avx512/local/k33/h16/u64/encode,0.21345150088595904,bulk/calico/striped/k33/h0/u64/encode,0.12153827974962658,1.7562491531530406,False
large,local/k34/h16/u64/encode,bulk/series/avx512/local/k34/h16/u64/encode,0.21166687132477424,bulk/calico/local/k34/h0/u64/encode,0.1197158022808276,1.768077958733043,False
large,local/k35/h16/u64/encode,bulk/series/avx512/local/k35/h16/u64/encode,0.2121595062555744,bulk/calico/striped/k35/h0/u64/encode,0.11537835539131225,1.8388154826442393,False
large,local/k36/h16/u64/encode,bulk/series/avx512/local/k36/h16/u64/encode,0.21537663336248836,bulk/calico/local/k36/h0/u64/encode,0.12265032620415409,1.7560216921395655,False
large,local/k37/h16/u64/encode,bulk/series/avx512/local/k37/h16/u64/encode,0.21746566410290386,bulk/calico/striped/k37/h0/u64/encode,0.11290865688654392,1.926031803933545,False
large,local/k38/h16/u64/encode,bulk/series/avx512/local/k38/h16/u64/encode,0.21638444412055996,bulk/calico/striped/k38/h0/u64/encode,0.11643291794090561,1.8584473183982537,False
large,local/k39/h16/u64/encode,bulk/series/avx512/local/k39/h16/u64/encode,0.22532289672684505,bulk/calico/striped/k39/h0/u64/encode,0.11626030404379212,1.938089690888577,False
large,local/k40/h16/u64/encode,bulk/series/avx512/local/k40/h16/u64/encode,0.21722718233284172,bulk/calico/local/k40/h0/u64/encode,0.11940671283536258,1.819220855969409,False
large,local/k41/h16/u64/encode,bulk/series/avx512/local/k41/h16/u64/encode,0.21987294159438314,bulk/calico/striped/k41/h0/u64/encode,0.14087863401933579,1.5607259619241147,False
large,local/k42/h16/u64/encode,bulk/series/avx512/local/k42/h16/u64/encode,0.23367142813601202,bulk/calico/striped/k42/h0/u64/encode,0.14105682451995216,1.6565765529689755,False
large,local/k43/h16/u64/encode,bulk/series/avx512/local/k43/h16/u64/encode,0.22544008110229588,bulk/calico/local/k43/h0/u64/encode,0.14377208956128568,1.5680378701472348,False
