input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:body_bytes_per_block,counter:population_per_block,counter:blocks_per_call
neoverse-v2,codec/population4/native_encode_admitted_exact,1,5,"[32.97460704184784,32.96567370662689,32.944032088239,32.94366143981542,32.929673593306454]",32.944032088239,"[32.97378783834281,32.98040757172419,32.94327898713325,32.94281862820207,32.92889452395147]",32.94327898713325,,,3.99609375,4.0,1.0
neoverse-v2,codec/population4/native_encode_checked_exact,1,5,"[37.91525373271714,37.89898322882393,37.89678568238839,37.913494613033436,37.8839468150451]",37.89898322882393,"[37.933697425855506,37.89815508853767,37.90285329203195,37.92797081496176,37.883226928620836]",37.90285329203195,,,3.99609375,4.0,1.0
neoverse-v2,codec/population4/native_encode_wide,1,5,"[24.873779120114,24.866654363225216,24.88645107253003,24.867834428813516,24.873967220793805]",24.873779120114,"[24.873188200070544,24.865985363972428,24.89797135209998,24.867278999011845,24.873321290380773]",24.873188200070544,,,3.99609375,4.0,1.0
neoverse-v2,codec/population4/native_pair_exact_materialized,1,5,"[169.81688778163624,169.5724116245601,169.71117588012504,169.58916153688028,169.9317546893706]",169.71117588012504,"[170.0154558750499,169.56852951644402,169.7883101369935,169.58475939423593,171.41559132909654]",169.7883101369935,,,3.99609375,4.0,2.0
neoverse-v2,codec/population4/native_pair_materialized,1,5,"[165.80773184304894,165.66461476658864,165.88691706937195,165.85039639874378,165.83261457755236]",165.83261457755236,"[165.88510934735805,165.6610584057189,165.88242730672428,165.84611931153475,165.89666457871604]",165.88242730672428,,,3.99609375,4.0,2.0
neoverse-v2,codec/population4/prepare_checked,1,5,"[32.19799804968887,32.16200259580448,32.17465425783409,32.23593459312222,32.196204501390035]",32.196204501390035,"[32.213044951361404,32.16122339302974,32.17379206332768,32.31418908835326,32.205757796389]",32.205757796389,,,3.99609375,4.0,1.0
neoverse-v2,codec/population4/spike_decode_padded,1,5,"[84.013558650022,83.99383643113809,84.03492088284534,84.02846295250612,84.02256370823159]",84.02256370823159,"[84.01129386712536,83.99184198103181,84.03277624977814,84.06313152466333,84.02038903815387]",84.02038903815387,,,3.99609375,4.0,1.0
neoverse-v2,codec/population4/spike_encode_wide,1,5,"[25.9247164920831,25.902013673456317,25.914307952272885,25.916267641826426,25.917802115725895]",25.916267641826426,"[25.94122595218724,25.901379546828117,25.913627607334103,25.915504102013653,25.92878931809342]",25.915504102013653,,,3.99609375,4.0,1.0
neoverse-v2,codec/population4/spike_pair_materialized,1,5,"[166.988929447664,166.95221111843244,166.87798456106694,166.9356830829998,166.99588295135615]",166.95221111843244,"[167.0965830872449,166.94847705359155,166.87347256412858,166.93194901335417,167.0933038121468]",166.94847705359155,,,3.99609375,4.0,2.0
neoverse-v2,codec/population64/decode_exact,1,5,"[88.14992845842303,88.21470037630066,88.294927796579,88.16487339976526,88.32874458711402]",88.21470037630066,"[88.14778536375728,88.25570914466631,88.29298009984436,88.16273660786379,88.54072827331507]",88.25570914466631,,,31.1484375,64.0,1.0
neoverse-v2,codec/population64/decode_padded,1,5,"[85.0493239221085,85.0226877892957,85.11391274768104,85.0471128497281,85.10665386998615]",85.0493239221085,"[85.08801768914317,85.02050101632575,85.16665046877937,85.04485925517868,85.14692697296175]",85.08801768914317,,,31.1484375,64.0,1.0
neoverse-v2,codec/population64/encode_bound_exact,1,5,"[36.31027169864509,36.30025724023509,36.329501120070844,36.29930978629504,36.29555631120944]",36.30025724023509,"[36.30936058543957,36.299408425565346,36.345470262250686,36.298632292005,36.294756815676855]",36.299408425565346,,,31.1484375,64.0,1.0
neoverse-v2,codec/population64/encode_checked_exact,1,5,"[37.07849718952109,37.10379679711682,37.1272351256765,37.052768055996864,37.07046346378544]",37.07849718952109,"[37.077487008152765,37.10285555259869,37.14415102376922,37.05197794007164,37.06950365893815]",37.077487008152765,,,31.1484375,64.0,1.0
