dataset,mask,operation,configuration,policy,repetition,pairs,passes,calls,selected_slices,bec_decodes,plain_loads,metadata_frames,left_bytes,right_bytes,output_bytes,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,all,intersection,plain,complete,4,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,10473300187498627658,5872435,179.212,26212957,141533471,5877532,5877532,available,0,0,unestablished
structural,all,intersection,plain,selected,0,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,10473300187498627658,6121356,186.809,27370349,141148448,6134872,6134872,available,0,0,unestablished
structural,all,intersection,plain,selected,1,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,10473300187498627658,6118057,186.708,27393732,141148447,6124283,6124283,available,0,0,unestablished
structural,all,intersection,plain,selected,2,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,10473300187498627658,6137817,187.311,27483155,141148448,6143892,6143892,available,0,0,unestablished
structural,all,intersection,plain,selected,3,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,10473300187498627658,6183727,188.712,27424456,141148449,6164543,6164543,available,0,0,unestablished
structural,all,intersection,plain,selected,4,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,10473300187498627658,6145076,187.533,27478608,141148448,6150852,6150852,available,0,0,unestablished
structural,all,intersection,local-point,complete,0,8,64,512,131072,259264,0,0,65241,65174,65536,10473300187498627658,7352036,14359.4,33030149,50540449,7365553,7365553,available,0,0,unestablished
structural,all,intersection,local-point,complete,1,8,64,512,131072,259264,0,0,65241,65174,65536,10473300187498627658,7374446,14403.2,33026127,50540449,7375053,7375053,available,0,0,unestablished
structural,all,intersection,local-point,complete,2,8,64,512,131072,259264,0,0,65241,65174,65536,10473300187498627658,7372936,14400.3,33027847,50540448,7378003,7378003,available,0,0,unestablished
structural,all,intersection,local-point,complete,3,8,64,512,131072,259264,0,0,65241,65174,65536,10473300187498627658,7400286,14453.7,33029657,50540449,7386993,7386993,available,0,0,unestablished
structural,all,intersection,local-point,complete,4,8,64,512,131072,259264,0,0,65241,65174,65536,10473300187498627658,7343666,14343.1,33032044,50540449,7356103,7356103,available,0,0,unestablished
structural,all,intersection,local-frame,complete,0,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7021283,13713.4,31533526,39260065,7035173,7035173,available,0,0,unestablished
structural,all,intersection,local-frame,complete,1,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7033593,13737.5,31538151,39260064,7040113,7040113,available,0,0,unestablished
structural,all,intersection,local-frame,complete,2,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7036263,13742.7,31539207,39260065,7041543,7041543,available,0,0,unestablished
structural,all,intersection,local-frame,complete,3,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7072303,13813.1,31537077,39260066,7062822,7062822,available,0,0,unestablished
structural,all,intersection,local-frame,complete,4,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7037413,13744.9,31539575,39260065,7042603,7042603,available,0,0,unestablished
structural,all,intersection,local-frame,selected,0,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7015554,13702.3,31530921,39254049,7028642,7028642,available,0,0,unestablished
structural,all,intersection,local-frame,selected,1,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7081214,13830.5,31536147,39254049,7053353,7053353,available,0,0,unestablished
structural,all,intersection,local-frame,selected,2,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7028913,13728.3,31534361,39254049,7034023,7034023,available,0,0,unestablished
structural,all,intersection,local-frame,selected,3,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7064984,13798.8,31533794,39254050,7054553,7054553,available,0,0,unestablished
structural,all,intersection,local-frame,selected,4,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7052603,13774.6,31541049,39254048,7048712,7048712,available,0,0,unestablished
structural,all,intersection,local-inline,complete,0,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7037754,13745.6,31570967,36604769,7050543,7050543,available,0,0,unestablished
structural,all,intersection,local-inline,complete,1,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7046004,13761.7,31562670,36604769,7051143,7051143,available,0,0,unestablished
structural,all,intersection,local-inline,complete,2,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7044674,13759.1,31563617,36604768,7049922,7049922,available,0,0,unestablished
structural,all,intersection,local-inline,complete,3,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7086294,13840.4,31564076,36604771,7075093,7075093,available,0,0,unestablished
structural,all,intersection,local-inline,complete,4,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7038703,13747.5,31563424,36604769,7043873,7043873,available,0,0,unestablished
structural,all,intersection,mixed-frame,complete,0,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7027564,13725.7,31533582,39432097,7042433,7042433,available,0,0,unestablished
structural,all,intersection,mixed-frame,complete,1,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7036543,13743.2,31542752,39432097,7041902,7041902,available,0,0,unestablished
structural,all,intersection,mixed-frame,complete,2,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7039403,13748.8,31539568,39432097,7044383,7044383,available,0,0,unestablished
structural,all,intersection,mixed-frame,complete,3,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7058324,13785.8,31533711,39432097,7048383,7048383,available,0,0,unestablished
