dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income_srt,none,intersection,mixed-point-frame,complete,5,52.0359,51.8668,52.0779,233.05651092529297,1.0536889104881084
census-income_srt,none,intersection,plain,complete,5,49.3845,49.3377,50.0626,221.0530548095703,1.0
census-income_srt,none,intersection,plain,selected,5,1.39543,1.39229,1.39698,6.251497983932495,1.0
census-income_srt,none,union,bec-plain-frame,complete,5,49.7761,49.6036,49.8688,223.0578155517578,1.0085484112800938
census-income_srt,none,union,local-frame,complete,5,52.0715,51.9101,52.3157,233.05968475341797,1.0550571177326347
census-income_srt,none,union,local-frame,selected,5,3.13615,3.12909,3.14676,14.048118591308594,2.245383794774864
census-income_srt,none,union,local-inline,complete,5,49.3399,49.2505,49.6599,221.05382537841797,0.9997102576883021
census-income_srt,none,union,local-point,complete,5,52.0766,51.8855,52.235,233.05934143066406,1.0551604524032403
census-income_srt,none,union,mixed-frame,complete,5,52.0265,51.8239,52.0786,233.0572052001953,1.0541453412272916
census-income_srt,none,union,mixed-frame-point,complete,5,51.9996,51.9125,52.093,233.05918884277344,1.0536003014940978
census-income_srt,none,union,mixed-point-frame,complete,5,52.0065,51.851,52.0881,233.05995178222656,1.053740107224917
census-income_srt,none,union,plain,complete,5,49.3542,49.1703,49.7379,221.05493927001953,1.0
census-income_srt,none,union,plain,selected,5,1.39671,1.3951,1.4018,6.251591444015503,1.0
census-income_srt,single255,intersection,bec-plain-frame,complete,5,82.0415,81.4125,82.3845,365.99269104003906,1.4642580502379108
census-income_srt,single255,intersection,local-frame,complete,5,60.0029,59.9023,60.1253,268.9588623046875,1.0709181251271653
census-income_srt,single255,intersection,local-frame,selected,5,9.53604,9.49701,9.57094,42.74468994140625,4.216016906439832
census-income_srt,single255,intersection,local-inline,complete,5,55.3829,55.2832,55.5129,247.77254486083984,0.9884614149000346
census-income_srt,single255,intersection,local-point,complete,5,56.3834,56.2662,56.5385,252.06814575195312,1.006318111562858
census-income_srt,single255,intersection,mixed-frame,complete,5,59.0293,58.8166,59.356,263.9420394897461,1.053541533552028
census-income_srt,single255,intersection,mixed-frame-point,complete,5,57.7523,57.621,57.8778,258.73470306396484,1.0307499277165202
census-income_srt,single255,intersection,mixed-point-frame,complete,5,56.8711,56.7285,56.9874,254.29381561279297,1.0150224703459254
census-income_srt,single255,intersection,plain,complete,5,56.0294,55.8679,56.3002,251.06119537353516,1.0
census-income_srt,single255,intersection,plain,selected,5,2.26186,2.25873,2.26581,10.127459526062012,1.0
census-income_srt,single255,union,bec-plain-frame,complete,5,81.8294,81.6128,81.8649,366.4354553222656,1.459532154355174
census-income_srt,single255,union,local-frame,complete,5,95.415,94.8898,95.6135,426.91810607910156,1.7018487305027157
census-income_srt,single255,union,local-frame,selected,5,39.4483,39.267,39.5879,176.61254119873047,17.428548707050805
census-income_srt,single255,union,local-inline,complete,5,89.1774,88.8132,89.3433,399.73480224609375,1.5905931455172968
census-income_srt,single255,union,local-point,complete,5,87.4553,86.762,88.1496,390.56272888183594,1.5598772863882422
census-income_srt,single255,union,mixed-frame,complete,5,94.0314,93.6004,94.2986,420.63690185546875,1.6771704524172621
