profile,target,case,variant,ns_per_value,over_materialized,vs_materialized,samples,materialized_samples
gnr-avx512,avx512,composition/avx512/local/k31/h0/u32/all,authored-u64-carrier,0.2551837585428088,0.9145358513525271,separated faster,"[0.2550919127934389,0.25522008024525766,0.2551837585428088]","[0.27911226793345695,0.2783531222525431,0.2790308965639914]"
gnr-avx512,avx512,composition/avx512/local/k31/h0/u32/prefilter75,authored,0.3468774053914615,1.1929560289048438,separated slower,"[0.34682120249476933,0.3468774053914615,0.34714072637019955]","[0.2905194249272823,0.29077132516770254,0.29126453491609694]"
gnr-avx512,avx512,composition/avx512/local/k31/h0/u32/prefilter75,authored-u64-carrier,0.2552842925194763,0.8779555287036676,separated faster,"[0.2552842925194763,0.2555061307262745,0.25511674157315284]","[0.2905194249272823,0.29077132516770254,0.29126453491609694]"
gnr-avx512,avx512,composition/avx512/local/k5/h0/u8/all,authored,0.243302867791208,1.7637668095384487,separated slower,"[0.243302867791208,0.24338758572384647,0.24330151184088913]","[0.1379450313246776,0.1379244619187925,0.13799434536693325]"
gnr-avx512,avx512,composition/avx512/local/k5/h0/u8/all,authored-u64-carrier,0.13182155469734044,0.9556092990915743,separated faster,"[0.13182155469734044,0.1318723164230154,0.13178298933730861]","[0.1379450313246776,0.1379244619187925,0.13799434536693325]"
gnr-avx512,avx512,composition/avx512/local/k5/h0/u8/all,dense64-authored,0.03136189815984589,0.2273506907692109,separated faster,"[0.03135658283293893,0.03136523237371104,0.03136189815984589]","[0.1379450313246776,0.1379244619187925,0.13799434536693325]"
gnr-avx512,avx512,composition/avx512/local/k5/h0/u8/prefilter75,authored,0.24333950017736844,1.661673309894034,separated slower,"[0.24342835498504214,0.24331693148523548,0.24333950017736844]","[0.14644244372733312,0.14644255180665514,0.14640985608262128]"
gnr-avx512,avx512,composition/avx512/local/k5/h0/u8/prefilter75,authored-u64-carrier,0.13170661909569475,0.8993746330874158,separated faster,"[0.13170624506149486,0.13188360329008963,0.13170661909569475]","[0.14644244372733312,0.14644255180665514,0.14640985608262128]"
gnr-avx512,avx512,composition/avx512/local/k5/h0/u8/prefilter75,dense64-authored,0.030122335662515314,0.20569402487301608,separated faster,"[0.030122335662515314,0.03012312984885921,0.030115932714263556]","[0.14644244372733312,0.14644255180665514,0.14640985608262128]"
gnr-avx512,avx512,composition/avx512/local/k56/h0/u64/all,authored,0.21288643246101718,0.7653976963862201,separated faster,"[0.21288643246101718,0.21281096675747296,0.212930350194823]","[0.2783906512501881,0.2781383239930664,0.27781887297819047]"
gnr-avx512,avx512,composition/avx512/local/k56/h0/u64/all,authored-u64-carrier,0.10604606962816235,0.38127097375766855,separated faster,"[0.10640295114467549,0.10582195160600369,0.10604606962816235]","[0.2783906512501881,0.2781383239930664,0.27781887297819047]"
gnr-avx512,avx512,composition/avx512/local/k56/h0/u64/prefilter75,authored,0.2038997434793938,0.6957290321260627,separated faster,"[0.20389288630802563,0.2038997434793938,0.20393067867295878]","[0.2924919914053213,0.2932051529872174,0.2930735014123259]"
