node_a,node_b,host_a,host_b,same_az,az_a,az_b,budget,src,dst,host_src,host_dst,holdout_round,sequential_port_a,sequential_flow,sequential_train_worst_us,sequential_holdout_us,sequential_holdout_lo_us,sequential_holdout_hi_us,scattered_port_a,scattered_flow,scattered_train_worst_us,scattered_holdout_us,scattered_holdout_lo_us,scattered_holdout_hi_us,gain_us,gain_lo_us,gain_hi_us
0,8,az1a,az5a,False,1,5,4,8,0,az5a,az1a,3,61442,3,117.7436958619497,120.66094596400555,73.57231797267286,165.00181350070073,57655,33,112.13200732002257,113.22631783168903,71.8037932134634,155.05355990255276,7.434628132316519,-81.4812419298799,93.19802028723734
0,8,az1a,az5a,False,1,5,16,0,8,az1a,az5a,4,61452,13,115.39934395854075,113.28558753268292,55.29427883683715,170.4266029031029,57655,33,116.13536532118835,113.29419591491646,58.58022279994958,168.79956884374377,-0.008608382233532552,-113.50529000690662,111.84638010315331
0,8,az1a,az5a,False,1,5,16,8,0,az5a,az1a,3,61442,3,117.7436958619497,120.66094596400555,73.57231797267286,165.00181350070073,57655,33,112.13200732002257,113.22631783168903,71.8037932134634,155.05355990255276,7.434628132316519,-81.4812419298799,93.19802028723734
0,8,az1a,az5a,False,1,5,32,0,8,az1a,az5a,4,61452,13,115.39934395854075,113.28558753268292,55.29427883683715,170.4266029031029,64042,56,115.79582409988157,114.68403563679465,68.18443593173171,157.8934321246246,-1.398448104111722,-102.59915328778746,102.24216697137118
0,8,az1a,az5a,False,1,5,32,8,0,az5a,az1a,3,61470,31,112.17026358215254,114.46607950355555,54.601937372672836,172.6576188889388,54261,60,111.16411146603858,113.52778663763986,57.403409373924134,167.68360797777748,0.9382928659156846,-113.08167060510465,115.25420951501467
0,9,az1a,az5b,False,1,5,4,0,9,az1a,az5b,4,54868,2,123.03087148164491,117.2593597799309,63.05989565675682,178.72358323383366,59419,34,133.42665978496765,127.56557040337961,87.43921825600601,173.6197837864363,-10.306210623448706,-110.55988812967948,91.28436497782765
0,9,az1a,az5b,False,1,5,4,9,0,az5b,az1a,3,54867,1,111.6323673562381,114.78196422083546,63.83863325745746,167.37233811816827,59419,34,112.27004942738799,114.44078126554429,76.3480384773274,154.45113835105113,0.34118295529117404,-90.61250509359367,91.02429964084087
0,9,az1a,az5b,False,1,5,16,0,9,az1a,az5b,4,54873,7,120.25795905414503,115.29579814257602,80.54571645415399,154.986612262012,60445,41,118.35696606862906,113.0613412229662,56.51004099889903,176.34582001611602,2.234456919609812,-95.80010356196203,98.47657126311296
0,9,az1a,az5b,False,1,5,16,9,0,az5b,az1a,3,54873,7,111.21329520538694,115.6288611044469,57.50726509399395,172.41521766701698,60714,39,109.69579640861053,115.08716567001206,68.4165018701701,158.33010712637648,0.5416954344348426,-100.82284203238252,103.99871579684688
0,9,az1a,az5b,False,1,5,32,0,9,az1a,az5b,4,54873,7,120.25795905414503,115.29579814257602,80.54571645415399,154.986612262012,60445,41,118.35696606862906,113.0613412229662,56.51004099889903,176.34582001611602,2.234456919609812,-95.80010356196203,98.47657126311296
0,9,az1a,az5b,False,1,5,32,9,0,az5b,az1a,3,54873,7,111.21329520538694,115.6288611044469,57.50726509399395,172.41521766701698,60714,39,109.69579640861053,115.08716567001206,68.4165018701701,158.33010712637648,0.5416954344348426,-100.82284203238252,103.99871579684688
0,10,az1a,az6a,False,1,6,4,0,10,az1a,az6a,4,56714,1,260.90190031032125,250.46784330938164,197.81437838393416,315.242391847498,54610,34,261.51461396806604,253.42422777624964,214.31547244224208,301.1327190914914,-2.956384466868002,-103.31834070755727,100.92691940525594
0,10,az1a,az6a,False,1,6,4,10,0,az6a,az1a,3,56716,3,251.61931769117723,253.38961983832112,197.44034516566572,314.17743732032045,55624,32,248.2223854510982,253.75692272632824,204.59425319294283,306.6460763314315,-0.3673028880071172,-109.2057311657658,109.58318412737762
0,10,az1a,az6a,False,1,6,16,0,10,az1a,az6a,4,56720,7,260.83651083108714,251.50186314806214,203.17337778963963,308.70579377832814,56897,44,261.4244901510002,251.71048458178598,216.8942295367869,294.3432667464467,-0.20862143372383457,-91.16988895680709,91.81156424154125
0,10,az1a,az6a,False,1,6,16,10,0,az6a,az1a,3,56723,10,247.946964054149,250.16249870465066,193.801408408558,314.7881454424926,55624,32,248.2223854510982,253.75692272632824,204.59425319294283,306.6460763314315,-3.5944240216775825,-112.84466792287353,110.19389224954975
0,10,az1a,az6a,False,1,6,32,0,10,az1a,az6a,4,56720,7,260.83651083108714,251.50186314806214,203.17337778963963,308.70579377832814,49505,50,261.0148303187898,250.69388736428775,205.53595747207186,304.7099249199198,0.8079757837743955,-101.53654713028016,103.16983630625629
0,10,az1a,az6a,False,1,6,32,10,0,az6a,az1a,3,56734,21,247.84920466650766,252.88449447452277,195.1338382070572,315.6455588828833,55624,32,248.2223854510982,253.75692272632824,204.59425319294283,306.6460763314315,-0.8724282518054736,-111.5122381243743,111.05130568994045
0,11,az1a,az6b,False,1,6,4,0,11,az1a,az6b,4,64620,2,345.4081190183057,331.57761567956254,304.9307226225727,373.29390613758756,52909,35,338.4154161223763,327.54070733810903,295.78550208438423,374.92023247587633,4.036908341453511,-69.98950985330362,77.50840405320332
