node_a,node_b,host_a,host_b,same_az,az_a,az_b,flow,canonical_flow,arm,index,port_a,port_b,rtt_train_worst_us,rtt_train_median_us,rtt_round_0_us,rtt_round_1_us,rtt_round_2_us,rtt_round_3_us,rtt_round_4_us,rtt_holdout_worst_us,ab_train_worst_us,ab_train_median_us,ab_request_holdout_round,ab_request_holdout_us,ab_request_holdout_lo_us,ab_request_holdout_hi_us,ba_train_worst_us,ba_train_median_us,ba_request_holdout_round,ba_request_holdout_us,ba_request_holdout_lo_us,ba_request_holdout_hi_us
0,1,az1a,az1b,True,1,1,11,11,sequential,11,52861,48100,38.7585,38.589,38.490750000000006,38.7585,38.589,39.316500000000005,38.442,39.316500000000005,16.85669762218109,15.200704931015702,4,26.56004497556435,0.0,38.56284057912913,24.31998159017408,24.31998159017408,3,23.1997014704037,0.0,39.438691504554555
0,1,az1a,az1b,True,1,1,12,12,sequential,12,52862,48100,40.308,39.66225,40.308,39.66225,39.37825,38.797250000000005,38.9285,38.9285,16.915210144521026,15.589392315619072,4,28.11070386214112,0.0,39.0901779483984,27.39670778164419,27.39670778164419,3,17.10717495093029,0.0,38.95050727132133
0,1,az1a,az1b,True,1,1,13,13,sequential,13,52863,48100,40.613749999999996,39.350750000000005,39.293499999999995,40.613749999999996,39.350750000000005,39.13975,38.97575,39.13975,16.548276556741154,15.297406338198547,4,27.349807958237363,0.0,39.09445414259259,25.62686147436127,25.62686147436127,3,17.64566788814613,0.0,39.290478843943944
0,1,az1a,az1b,True,1,1,14,14,sequential,14,52864,48100,39.60975,38.25075,39.60975,38.21125,38.25075,38.5295,38.86025,38.86025,18.98859301923544,17.00689590041032,4,28.97710568358726,0.0,39.017435430030034,24.364023368889058,24.364023368889058,3,22.452383179827592,0.0,38.68243863933934
0,1,az1a,az1b,True,1,1,15,15,sequential,15,52865,48100,41.008,40.8395,40.8395,41.008,40.320750000000004,39.545500000000004,39.1155,39.545500000000004,18.25198092061421,17.1053866183848,4,26.112294897737215,0.0,39.2560116963964,25.34986018478725,25.34986018478725,3,23.51291456370661,0.0,39.66593965770771
0,1,az1a,az1b,True,1,1,16,16,sequential,16,52866,48100,40.95025,39.605,39.22725,39.605,40.95025,39.628,39.65575,39.65575,17.22249524026853,15.910770186742418,4,29.079796619683854,0.0,39.7929538962963,26.706573576264198,26.706573576264198,3,20.05428245626157,0.0,39.7489535549049
0,1,az1a,az1b,True,1,1,17,17,sequential,17,52867,48100,41.8955,41.7365,41.7365,41.8955,41.71625,43.03675,40.04675,43.03675,18.845583176792424,17.72160820422016,4,25.489639018915362,0.0,40.171531150200195,28.03693654110632,28.03693654110632,3,21.00571212275699,0.0,43.17536183443443
0,1,az1a,az1b,True,1,1,18,18,sequential,18,52868,48100,40.9965,40.264250000000004,38.938500000000005,40.264250000000004,40.9965,38.96475,39.851749999999996,39.851749999999996,17.639341148106148,17.115896980802354,4,30.223079666102187,0.0,39.97576391191191,26.45339328792121,26.45339328792121,3,17.09786574119446,0.0,39.08884897607608
0,1,az1a,az1b,True,1,1,19,19,sequential,19,52869,48100,39.345749999999995,38.0895,37.843,38.0895,39.345749999999995,38.1665,48.095,48.095,18.341238679367905,16.939639685552844,4,24.593283610286775,0.0,48.22167839834835,24.6418728645246,24.6418728645246,3,19.23670093724504,0.0,38.288557886986986
0,1,az1a,az1b,True,1,1,20,20,sequential,20,52870,48100,44.8875,39.57,38.859750000000005,39.57,44.8875,40.7265,37.789,40.7265,17.494619690994266,16.558142192496685,4,26.534187712180195,0.0,37.910075881381374,26.668478341924608,26.668478341924608,3,24.05341313324997,0.0,40.92707431596597
