mtu,bytes,azs,leader,followers,healthy_p50_lower_us,healthy_p50_independent_us,healthy_p50_upper_us,one_follower_down_worst_p50_us,healthy_p99_lower_us,healthy_p99_independent_us,healthy_p99_upper_us,one_follower_down_worst_p99_us,healthy_p999_lower_us,healthy_p999_independent_us,healthy_p999_upper_us,one_follower_down_worst_p999_us
1500,1400,"use1-az1,use1-az2,use1-az5",use1-az1,"use1-az2,use1-az5",280.488,280.488,280.488,419.007,323.594,323.594,323.594,474.259,349.059,357.522,359.362,493.956
1500,1400,"use1-az1,use1-az2,use1-az5",use1-az2,"use1-az1,use1-az5",291.184,291.184,291.184,384.982,353.193,353.193,353.193,424.891,369.803,378.558,378.956,449.289
1500,1400,"use1-az1,use1-az2,use1-az5",use1-az5,"use1-az1,use1-az2",295.434,297.801,305.163,327.222,320.703,365.189,376.953,434.179,321.266,391.982,461.884,464.636
1500,1400,"use1-az1,use1-az2,use1-az6",use1-az1,"use1-az2,use1-az6",419.007,419.007,419.007,605.986,474.259,474.259,474.259,661.986,493.956,493.956,493.956,684.869
1500,1400,"use1-az1,use1-az2,use1-az6",use1-az2,"use1-az1,use1-az6",384.982,384.982,384.982,838.165,424.891,424.891,424.891,1008.849,449.289,449.289,449.289,1026.12
1500,1400,"use1-az1,use1-az2,use1-az6",use1-az6,"use1-az1,use1-az2",610.803,610.803,610.803,752.61,672.503,672.503,672.503,1274.215,717.908,717.908,717.908,1300.212
1500,1400,"use1-az1,use1-az3,use1-az4",use1-az1,"use1-az3,use1-az4",324.619,324.619,324.619,738.2,359.815,359.815,359.815,771.83,382.209,382.209,382.209,801.588
1500,1400,"use1-az1,use1-az3,use1-az4",use1-az3,"use1-az1,use1-az4",695.537,695.537,695.537,742.627,739.571,755.909,763.363,776.207,739.698,762.462,794.187,798.757
1500,1400,"use1-az1,use1-az3,use1-az4",use1-az4,"use1-az1,use1-az3",324.452,324.452,324.452,722.408,360.323,360.323,360.323,769.206,376.86,376.86,376.86,795.667
1500,1400,"use1-az1,use1-az3,use1-az5",use1-az1,"use1-az3,use1-az5",280.488,280.488,280.488,738.2,323.594,323.594,323.594,771.83,359.362,359.362,359.362,801.588
