dataset,first,count,layout,execution,repetitions,median_ns,min_ns,max_ns,cycles_per_call,ratio_to_direct_inline,split_over_inline
random_half,255,1,scan128,split,5,58.2946,58.2711,58.5485,260.29792404174805,0.7446521633221601,1.0042672390773668
structural,0,256,direct32,inline,5,6758.2,6742.68,6867.31,30162.35107421875,1.0,1.0
structural,0,256,direct32,split,5,7678.07,7663.04,7697.52,34247.443359375,0.8801951532090747,1.1361116865437542
structural,0,256,local16,inline,5,7425.37,7403.44,7436.12,32994.1181640625,0.9101499319225843,1.0
structural,0,256,local16,split,5,7787.34,7776.51,7822.13,34708.98291015625,0.8678444757773514,1.0487477391699
structural,0,256,scan128,inline,5,7349.72,7342.45,7368.62,32789.65087890625,0.9195180224552771,1.0
structural,0,256,scan128,split,5,7739.28,7728.3,7747.32,34575.5595703125,0.8732336858209032,1.053003379720588
structural,3,37,direct32,inline,5,1022.04,1019.66,1023.21,4560.837951660156,1.0,1.0
structural,3,37,direct32,split,5,1141.03,1136.14,1151.86,5077.9014892578125,0.8957170275978721,1.1164240147156668
structural,3,37,local16,inline,5,1096.64,1096.13,1099.13,4902.175720214844,0.9319740297636415,1.0
structural,3,37,local16,split,5,1154.8,1152.0,1158.76,5153.270812988281,0.8850363699341878,1.0530347242486138
structural,3,37,scan128,inline,5,1088.4,1086.83,1090.05,4859.729919433594,0.9390297684674751,1.0
structural,3,37,scan128,split,5,1149.94,1149.04,1169.42,5137.464172363281,0.8887768057463867,1.0565417126056595
structural,15,18,direct32,inline,5,490.702,490.26,492.729,2192.2689819335938,1.0,1.0
structural,15,18,direct32,split,5,540.089,539.317,541.644,2408.1947326660156,0.9085576636443252,1.1006456056832865
structural,15,18,local16,inline,5,533.132,531.819,533.508,2380.5673828125,0.9204137061740808,1.0
structural,15,18,local16,split,5,555.95,555.306,557.669,2484.6483764648438,0.8826369277812752,1.0427999069648795
structural,15,18,scan128,inline,5,527.929,526.855,528.043,2355.8981323242188,0.9294848360290873,1.0
structural,15,18,scan128,split,5,552.262,551.85,553.942,2464.688446044922,0.8885311681774232,1.0460914251727031
structural,255,1,direct32,inline,5,43.3075,43.1606,43.4262,193.03304290771484,1.0,1.0
structural,255,1,direct32,split,5,43.1192,42.984,43.1803,192.5284767150879,1.004366964136626,0.9956520233215956
structural,255,1,local16,inline,5,58.695,58.6553,58.8886,262.12738037109375,0.7378396797001447,1.0
structural,255,1,local16,split,5,58.9784,58.9059,59.1597,263.1225051879883,0.734294250098341,1.004828349944629
structural,255,1,scan128,inline,5,57.9742,57.863,58.0951,258.8357734680176,0.7470133266177023,1.0
structural,255,1,scan128,split,5,58.6078,58.4316,59.6139,261.5446968078613,0.7389374793116275,1.01092899945148
uscensus2000,0,256,direct32,inline,5,6755.68,6730.99,6770.87,30167.49072265625,1.0,1.0
uscensus2000,0,256,direct32,split,5,7681.74,7667.45,7688.14,34243.07373046875,0.87944658371671,1.1370787248655945
uscensus2000,0,256,local16,inline,5,7368.77,7364.72,7397.54,32899.4892578125,0.9167988687392875,1.0
uscensus2000,0,256,local16,split,5,7776.07,7761.08,7784.49,34699.91455078125,0.8687781874391564,1.0552738109616664
uscensus2000,0,256,scan128,inline,5,7324.62,7319.91,7338.45,32703.47265625,0.9223249806815917,1.0
uscensus2000,0,256,scan128,split,5,7740.34,7729.32,7769.81,34587.02978515625,0.8727885338370149,1.0567565279837043
uscensus2000,3,37,direct32,inline,5,1024.03,1019.34,1025.5,4560.365783691406,1.0,1.0
uscensus2000,3,37,direct32,split,5,1136.01,1135.36,1137.22,5079.623229980469,0.9014269240587671,1.1093522650703593
uscensus2000,3,37,local16,inline,5,1091.4,1089.59,1093.47,4873.2340087890625,0.9382719442917353,1.0
uscensus2000,3,37,local16,split,5,1151.53,1150.46,1157.43,5146.285095214844,0.8892777435238335,1.0550943741982772
uscensus2000,3,37,scan128,inline,5,1083.26,1081.67,1085.18,4838.1614990234375,0.9453224525967912,1.0
uscensus2000,3,37,scan128,split,5,1149.73,1147.46,1150.39,5133.5966796875,0.890669983387404,1.0613610767498107
