name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,21,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,iteration,3,1,1,28941,929.2564873356397,928.753256625551,ns,256.0,275638333.619553,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,21,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/bytes,iteration,3,2,1,28941,936.9452334060084,936.9658270274075,ns,256.0,273222344.52475035,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,22,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,iteration,3,0,1,21748,1274.9692385524115,1275.0018392495926,ns,256.0,200784024.08475724,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,22,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,iteration,3,1,1,21748,1272.465008276667,1272.2001103549912,ns,256.0,201226204.8370413,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,22,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/50/word,iteration,3,2,1,21748,1285.4051407026589,1279.1713720801943,ns,256.0,200129556.9831989,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,23,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,iteration,3,0,1,23459,1155.985421372935,1156.0116799522575,ns,256.0,221451049.70788234,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,23,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,iteration,3,1,1,23459,1153.2377765454623,1152.8338803870515,ns,256.0,222061482.0185982,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,23,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/bytes,iteration,3,2,1,23459,1149.3411057598084,1149.3691973229766,ns,256.0,222730868.89422104,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,24,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,iteration,3,0,1,23847,1155.2958443412076,1155.0256636054912,ns,256.0,221640096.89696294,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,24,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,iteration,3,1,1,23847,1157.7515830106117,1157.5355809955136,ns,256.0,221159508.35812125,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,24,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/90/word,iteration,3,2,1,23847,1147.1688682020138,1147.1972575166753,ns,256.0,223152555.78117424,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,25,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,iteration,3,0,1,39717,653.8971473166135,653.749150237935,ns,256.0,391587507.08406675,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,25,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,iteration,3,1,1,39717,648.6973839906657,647.1176826044174,ns,256.0,395600378.2336646,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,25,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/bytes,iteration,3,2,1,39717,642.271395120034,641.9999244655995,ns,256.0,398753940.99632376,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,26,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,iteration,3,0,1,20436,1374.9045312191531,1372.5931199843437,ns,256.0,186508293.1516661,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,26,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,iteration,3,1,1,20436,1369.4315423768358,1369.4624681933856,ns,256.0,186934659.36143458,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,26,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/5/word,iteration,3,2,1,20436,1368.9630553908264,1368.6262477980065,ns,256.0,187048875.0393911,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/50/bytes,27,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/50/bytes,iteration,3,0,1,29505,936.5214709360083,936.3043213014714,ns,256.0,273415378.0729728,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/50/bytes,27,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/50/bytes,iteration,3,1,1,29505,933.3937298750226,933.4172852058995,ns,256.0,274261044.9339706,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/50/bytes,27,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/50/bytes,iteration,3,2,1,29505,932.6513472301654,932.4639213692489,ns,256.0,274541453.1685949,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/50/word,28,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/50/word,iteration,3,0,1,21796,1270.287850982253,1270.3144613690533,ns,256.0,201524904.09666094,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/50/word,28,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/50/word,iteration,3,1,1,21796,1270.9258120761683,1270.440447788572,ns,256.0,201504919.37313047,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/50/word,28,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/50/word,iteration,3,2,1,21796,1270.239768765266,1269.7884933015198,ns,256.0,201608379.15170103,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s7-B0s0-C1s5-D1s0/90/bytes,29,0,mixture/b2-A0s7-B0s0-C1s5-D1s0/90/bytes,iteration,3,0,1,23668,1158.7207622099813,1158.7503802602616,ns,256.0,220927651.3398002,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
